lna,a,A,omega,h,h2
-6.626430492830838,0.001324883837987102,0.9999438912107793,-1.0815565442681214,12857.531399386275,165316113.686204
-6.623437626056584,0.0013288549783884332,0.9999436386205321,-1.0834366795340444,12796.485874705288,163750050.74153194
-6.620444758293027,0.0013328380230055168,0.9999433845069439,-1.084083422145037,12735.738595105355,162199037.5628561
-6.617451889541829,0.0013368330075251335,0.9999431292523654,-1.082857317909903,12675.288050746332,160662927.16939276
-6.614459019804625,0.0013408399677410836,0.9999428732327094,-1.0804749149430029,12615.132739738803,159141574.04122984
-6.611466149083199,0.0013448589395542688,0.999942616544915,-1.0784541038895223,12555.271166691131,157634834.06914568
-6.608473277379556,0.001348889958972916,0.9999423589397649,-1.078012192878957,12495.701842336908,156142564.532582
-6.605480404695827,0.001352933062113019,0.9999421000021848,-1.0792165774648284,12436.423284436592,154664624.10967663
-6.602487531034098,0.0013569882851988985,0.9999418394446894,-1.080975314137377,12377.43401924214,153200872.90069264
-6.599494656396258,0.0013610556645637267,0.9999415773039265,-1.0818406922697033,12318.732582445104,151751172.43779463
-6.5965017807840045,0.001365135236649858,0.9999413139047845,-1.0810319594687055,12260.317518932463,150315385.66504225
-6.593508904198969,0.0013692270380089796,0.9999410496234867,-1.078956526782401,12202.187381532325,148893376.8940267
-6.590516026642892,0.0013733311053022031,0.9999407846204114,-1.0768883886644722,12144.340729627582,147485011.75729138
-6.587523148117719,0.0013774474753002622,0.9999405187291763,-1.0760597467899682,12086.776128572077,146090157.1822198
-6.584530268625544,0.0013815761848839075,0.999940251574597,-1.0768144250995915,12029.492150255226,144708681.3930521
-6.581537388168457,0.0013857172710444532,0.9999399828319812,-1.0784011418400585,11972.487374357579,143340453.92915162
-6.578544506748397,0.0013898707708843098,0.9999397124456876,-1.0795225685690892,11915.760389385001,141985345.65723658
-6.575551624367106,0.001394036721617381,0.9999394406582774,-1.0792363349971028,11859.309792754806,140643228.76053005
-6.572558741026224,0.0013982151605692746,0.9999391678354145,-1.07758260924836,11803.134189880435,139313976.70432448
-6.569565856727445,0.0014024061251774135,0.9999388942110752,-1.0755248976575607,11747.232192881938,137997464.1934818
-6.566572971472636,0.001406609652991207,0.9999386197278503,-1.074271307228866,11691.602419778208,136693567.14216366
-6.563580085263835,0.001410825781672386,0.9999383440776152,-1.0744562185097872,11636.24349466012,135402162.66701996
-6.560587198103129,0.0014150545489955057,0.9999380669098951,-1.0757348532886601,11581.154048667262,134123129.09896211
-6.557594309992509,0.0014192959928484956,0.9999377880638384,-1.0770445324775135,11526.332721061886,132856345.9966219
-6.554601420933782,0.0014235501512331178,0.9999375076682518,-1.0773330154604737,11471.778159655752,131601694.14435472
-6.551608530928615,0.0014278170622652564,0.9999372260466096,-1.076253807921446,11417.48902030282,130359055.52873547
-6.548615639978665,0.00143209676417507,0.9999369434951703,-1.0743715728388992,11363.463965799518,129128313.3020241
-6.545622748085712,0.0014363892953071454,0.9999366600841065,-1.0727622010957418,11309.701664910452,127909351.74927825
-6.542629855251712,0.0014406946941207662,0.999936375611897,-1.0722929663146958,11256.200792128575,126702056.27271596
-6.539636961478725,0.001445012999190349,0.9999360897388471,-1.073064281029776,11202.960028275505,125506313.39513871
-6.536644066768783,0.0014493442492059844,0.9999358022078328,-1.0743690868773874,11149.97806149765,124322010.77187888
-6.533651171123774,0.0014536884829739537,0.9999355130063163,-1.0751759413422752,11097.253587973832,123149037.19579808
-6.53065827454542,0.0014580457394171038,0.9999352223660971,-1.0748039640821911,11044.785311862697,121987282.58513798
-6.527665377035368,0.0014624160575750773,0.9999349306052021,-1.0733486722285481,10992.571944525575,120836637.95557077
-6.52467247859532,0.0014667994766044655,0.9999346379178213,-1.0715960549871346,10940.612203523671,119696995.38789108
-6.521679579227125,0.0014711960357790233,0.9999343442483546,-1.0704997547751065,10888.904812014138,118568248.00510465
-6.518686678932779,0.0014756057744900214,0.9999340493278408,-1.0705703819081718,10837.448498891921,117450289.96613476
-6.515693777714326,0.0014800287322467417,0.9999337528453601,-1.0715666550408274,10786.241999538446,116343016.47260714
-6.512700875573728,0.0014844649486770176,0.9999334546422097,-1.0726713054842134,10735.284056660228,115246323.77718328
-6.509707972512795,0.0014889144635277028,0.9999331548055622,-1.0730224647284416,10684.57342066361,114160109.18155128
