z_lo,z_hi,label,N,mean_resid,rms_resid,expected_rms,ratio_rms_to_expected,chi2_per_sn,sigma_chi2,excess_sigma,catalog,cosmology
0.32,0.4,0.32-0.40,239,0.04437993604563217,0.32821721977534196,0.18281191142994335,1.795382025208573,2.407069843778619,0.09147787074926965,15.381532519872877,DES,V_3 numerical KG
0.4,0.5,0.40-0.50,273,0.045320763332297495,0.2127302176051755,0.19268602515424826,1.1040251488652668,1.055528756891994,0.08559209850218258,0.6487603162408504,DES,V_3 numerical KG
0.5,0.6,0.50-0.60,310,0.038191904822761864,0.21164316689872967,0.18213649777021626,1.1620030553444542,1.2516840148745296,0.08032193289024989,3.1334407156065964,DES,V_3 numerical KG
0.6,0.7,0.60-0.70,295,0.0734715133321361,0.24862133896008567,0.17915264638508596,1.3877625811101768,1.8688624470263333,0.08233869695926183,10.55229775443513,DES,V_3 numerical KG
0.7,0.8,0.70-0.80,127,0.044942829980563766,0.17147342167479301,0.19691052363874573,0.8708189816679381,0.8861013071789855,0.12549116102763172,-0.9076232293040568,DES,V_3 numerical KG
0.8,0.9,0.80-0.90,80,0.0657158133087778,0.20846653922004083,0.22923415514218207,0.9094043559553324,1.0014817632175235,0.15811388300841897,0.009371493440867367,DES,V_3 numerical KG
0.9,1.0,0.90-1.00,33,0.1044780052352751,0.2652114684933274,0.2026905910868867,1.3084547589070874,1.4319743602852486,0.24618298195866548,1.7546881463877053,DES,V_3 numerical KG
1.0,1.5,1.00-1.50,17,0.020249862641321868,0.16438229240734573,0.17635131052399186,0.9321296899859568,1.098918093582325,0.3429971702850177,0.2883933226041715,DES,V_3 numerical KG
1.5,2.5,1.50-2.50,0,,,,,,,,DES,V_3 numerical KG
0.0,0.1,0.00-0.10,819,-0.025685717417823495,0.1626777792366082,0.16902289825293418,0.9624600034556807,1.0530397500024578,0.04941662111074008,1.0733180215538904,Pantheon+ + DES,V_3 numerical KG
0.1,0.2,0.10-0.20,251,0.027641371480503583,0.2761861652973371,0.14771498443655484,1.86972341601513,2.6090371905085443,0.08926436853549036,18.02552593948852,Pantheon+ + DES,V_3 numerical KG
0.2,0.28,0.20-0.28,330,0.01295224759717795,0.22260818243786432,0.15666371955416306,1.4209300217776484,1.4542061095128287,0.0778498944161523,5.834383115342929,Pantheon+ + DES,V_3 numerical KG
0.28,0.32,0.28-0.32 *TRANSITION*,181,0.07117435645494569,0.35445224633926387,0.16805453927600622,2.109150088217048,2.754116572968566,0.10511766624552733,16.687171962811743,Pantheon+ + DES,V_3 numerical KG
0.32,0.4,0.32-0.40,374,0.039151097692960865,0.2738806441263577,0.17377856227053104,1.5760323974829071,1.8169912992887403,0.07312724241271307,11.172187988134876,Pantheon+ + DES,V_3 numerical KG
0.4,0.5,0.40-0.50,371,0.046968477855639804,0.1983565440569925,0.18645483509035488,1.063831592036056,1.0127542818398019,0.07342230982143523,0.173711258482886,Pantheon+ + DES,V_3 numerical KG
0.5,0.6,0.50-0.60,391,0.034073919245203976,0.1990988272079966,0.18246398561509972,1.0911678079201197,1.1276557152297497,0.07151985398521515,1.7848989912107367,Pantheon+ + DES,V_3 numerical KG
