body,r_m,r_body_radii,A_Rs_over_r,grad_A_abs,g_from_STAM_gradient_m_s2,g_newton_m_s2,ratio_STAM_to_newton,relative_error_STAM_vs_newton
Earth,8484639.524539348,1.3317594607658685,1.0454307276333793e-09,1.2321451307504293e-16,5.536984086086508,5.536984086086507,1.0000000000000002,1.6040833888830662e-16
Earth,8507073.480373818,1.3352807220803355,1.0426738281160738e-09,1.2256551333682102e-16,5.507819492300219,5.507819492300219,1.0,0.0
Earth,8529566.753091827,1.338811293845837,1.039924198803044e-09,1.2191993203243162e-16,5.478808515269437,5.478808515269436,1.0000000000000002,1.6211160094841287e-16
Earth,8552119.499531172,1.3423512006798262,1.0371818205220775e-09,1.212777511561825e-16,5.449950345858705,5.449950345858704,1.0000000000000002,1.629700021716771e-16
Earth,8574731.876944361,1.3459004672648502,1.0344466741515183e-09,1.2063895279722114e-16,5.421244179194449,5.421244179194449,1.0,0.0
Earth,8597404.042999689,1.349459118348719,1.0317187406201354e-09,1.2000351913903564e-16,5.392689214642554,5.392689214642554,1.0,0.0
Earth,8620136.155782316,1.3530271787446737,1.0289980009069937e-09,1.1937143245895837e-16,5.364284655786054,5.3642846557860535,1.0000000000000002,1.6557257429322165e-16
Earth,8642928.373795444,1.3566046733315718,1.0262844360413107e-09,1.1874267512766966e-16,5.336029710402831,5.336029710402831,1.0,0.0
Earth,8665780.855961313,1.360191627054044,1.023578027102339e-09,1.181172296087092e-16,5.307923590443658,5.307923590443658,1.0,0.0
Earth,8688693.761622388,1.363788064922679,1.020878755219224e-09,1.1749507845798463e-16,5.279965512010119,5.2799655120101185,1.0000000000000002,1.6821670855232341e-16
Earth,8711667.25054244,1.3673940120141954,1.0181866015708757e-09,1.1687620432328579e-16,5.252154695332776,5.252154695332776,1.0,0.0
Earth,8734701.48290765,1.3710094934716135,1.015501547385839e-09,1.1626058994380126e-16,5.224490364749448,5.224490364749448,1.0,0.0
Earth,8757796.619327795,1.3746345345044413,1.012823573942155e-09,1.156482181496348e-16,5.196971748683476,5.196971748683475,1.0000000000000002,1.7090306868131878e-16
Earth,8780952.820837263,1.3782691603888342,1.0101526625672424e-09,1.1503907186132957e-16,5.169598079622343,5.169598079622342,1.0000000000000002,1.7180802182691344e-16
Earth,8804170.248896245,1.381913396467783,1.0074887946377593e-09,1.144331340893897e-16,5.142368594096183,5.142368594096182,1.0000000000000002,1.727177668127134e-16
Earth,8827449.065391844,1.385567268151286,1.004831951579475e-09,1.1383038793380693e-16,5.115282532656497,5.115282532656496,1.0000000000000002,1.7363232901211257e-16
Earth,8850789.432639183,1.3892308009165255,1.0021821148671434e-09,1.1323081658358992e-16,5.088339139855008,5.088339139855008,1.0,0.0
Earth,8874191.513382616,1.3929040203080545,9.995392660243641e-10,1.1263440331629324e-16,5.061537664222496,5.061537664222496,1.0,0.0
