object,mass_input_solar,mass_input_kg,Rs_m,Rs_km,test_radius_multiple_Rs,test_radius_m,A_Rs_over_r,grad_A_abs,mass_from_horizon_solar,ratio_horizon,g_m_s2,mass_from_acceleration_solar,ratio_acceleration,circular_velocity_m_s,circular_velocity_fraction_c,mass_from_orbital_velocity_solar,ratio_orbital_velocity,shapiro_K_one_way_s,mass_from_shapiro_K_solar,ratio_shapiro,grav_redshift_weak,mass_from_grav_redshift_solar,ratio_grav_redshift,lensing_alpha_rad,lensing_alpha_arcsec,mass_from_lensing_solar,ratio_lensing
Sagittarius A* scale,4300000.0,8.550421e+36,12699359342.887577,12699359.342887577,3,38098078028.662735,0.3333333333333333,8.74934775141552e-12,4300000.0,1.0,393176.0801077014,4300000.000000001,1.0000000000000002,122389758.47245945,0.408248290463863,4300000.000000001,1.0000000000000002,42.36050308806493,4299999.999999999,0.9999999999999999,0.16666666666666666,4300000.000000001,1.0000000000000002,0.6666666666666666,137509.87083133333,4300000.000000001,1.0000000000000002
Sagittarius A* scale,4300000.0,8.550421e+36,12699359342.887577,12699359.342887577,10,126993593428.87576,0.1,7.87441297627397e-13,4300000.0,1.0,35385.84720969314,4299999.999999999,0.9999999999999999,67035631.522975065,0.22360679774997896,4299999.999999999,0.9999999999999999,42.36050308806493,4299999.999999999,0.9999999999999999,0.05,4299999.999999999,0.9999999999999999,0.2,41252.9612494,4299999.999999999,0.9999999999999999
Sagittarius A* scale,4300000.0,8.550421e+36,12699359342.887577,12699359.342887577,100,1269935934288.7578,0.009999999999999998,7.874412976273967e-15,4300000.0,1.0,353.8584720969313,4300000.0,1.0,21198528.000038322,0.07071067811865475,4300000.0,1.0,42.36050308806493,4299999.999999999,0.9999999999999999,0.005,4300000.000000001,1.0000000000000002,0.02,4125.2961249400005,4300000.000000001,1.0000000000000002
Sagittarius A* scale,4300000.0,8.550421e+36,12699359342.887577,12699359.342887577,1000,12699359342887.576,0.001,7.87441297627397e-17,4300000.0,1.0,3.538584720969314,4300000.0,1.0,6703563.152297506,0.022360679774997897,4299999.999999999,0.9999999999999998,42.36050308806493,4299999.999999999,0.9999999999999999,0.0005000000000000001,4300000.000000001,1.0000000000000002,0.0020000000000000005,412.5296124940001,4300000.000000001,1.0000000000000002
Sagittarius A* scale,4300000.0,8.550421e+36,12699359342.887577,12699359.342887577,1000000,1.2699359342887578e+16,1e-06,7.874412976273968e-23,4300000.0,1.0,3.538584720969313e-06,4300000.0,1.0,211985.2800003832,0.0007071067811865474,4299999.999999999,0.9999999999999998,42.36050308806493,4299999.999999999,0.9999999999999999,5e-07,4300000.000000001,1.0000000000000002,2e-06,0.412529612494,4300000.000000001,1.0000000000000002
M87* scale,6500000000.0,1.2925054999999999e+40,19196705983434.707,19196705983.434708,3,57590117950304.125,0.3333333333333333,5.7880300509364216e-15,6499999999.999999,1.0,260.1010991481718,6500000000.000001,1.0000000000000002,122389758.47245945,0.408248290463863,6499999999.999999,1.0,64033.3186214935,6499999999.999999,1.0,0.16666666666666666,6499999999.999999,1.0,0.6666666666666666,137509.87083133333,6499999999.999999,1.0
M87* scale,6500000000.0,1.2925054999999999e+40,19196705983434.707,19196705983.434708,10,191967059834347.06,0.1,5.209227045842781e-16,6499999999.999999,1.0,23.409098923335463,6499999999.999999,1.0,67035631.522975065,0.22360679774997896,6499999999.999999,1.0,64033.3186214935,6499999999.999999,1.0,0.05,6499999999.999999,1.0,0.2,41252.9612494,6499999999.999999,1.0
M87* scale,6500000000.0,1.2925054999999999e+40,19196705983434.707,19196705983.434708,100,1919670598343470.8,0.01,5.20922704584278e-18,6499999999.999999,1.0,0.23409098923335458,6499999999.999999,1.0,21198528.000038322,0.07071067811865475,6499999999.999999,1.0,64033.3186214935,6499999999.999999,1.0,0.005,6499999999.999999,1.0,0.02,4125.2961249400005,6499999999.999999,1.0
M87* scale,6500000000.0,1.2925054999999999e+40,19196705983434.707,19196705983.434708,1000,1.9196705983434708e+16,0.001,5.20922704584278e-20,6499999999.999999,1.0,0.002340909892333546,6499999999.999999,1.0,6703563.152297506,0.022360679774997897,6499999999.999999,1.0,64033.3186214935,6499999999.999999,1.0,0.0005,6500000000.000001,1.0000000000000002,0.002,412.529612494,6500000000.000001,1.0000000000000002
M87* scale,6500000000.0,1.2925054999999999e+40,19196705983434.707,19196705983.434708,1000000,1.9196705983434707e+19,1e-06,5.20922704584278e-26,6499999999.999999,1.0,2.340909892333546e-09,6499999999.999999,1.0,211985.28000038324,0.0007071067811865475,6499999999.999999,1.0,64033.3186214935,6499999999.999999,1.0,5e-07,6499999999.999999,1.0,2e-06,0.412529612494,6499999999.999999,1.0
