x_m,y_m,x_earth_moon_units,y_earth_moon_units,A_earth,A_moon,A_total,log10_A_total,toy_SU_density,gradient_magnitude,gradient_unit_x,gradient_unit_y
34887082.40534522,162630769.23076928,0.09075723830734968,0.4230769230769232,5.3328141243862555e-11,2.828704170449688e-13,5.3611011660907524e-11,-10.270745997389424,6.361101166090752,3.2079437372708107e-19,-0.20753705906520592,-0.978227156193573
38739643.65256125,162630769.23076928,0.10077951002227171,0.4230769230769232,5.305684540864495e-11,2.8545432467299465e-13,5.334229973331795e-11,-10.2729282646124,6.334229973331795,3.1752911370537727e-19,-0.22945217198093035,-0.973319937519639
42592204.89977729,162630769.23076928,0.1108017817371938,0.4230769230769232,5.2761918630820417e-11,2.8808051358654183e-13,5.304999914440696e-11,-10.275314618766963,6.304999914440696,3.139989996111694e-19,-0.25101636484050194,-0.9679828431239161
46444766.14699334,162630769.23076928,0.12082405345211587,0.4230769230769232,5.2444623814844476e-11,2.90749861549454e-13,5.273537367639393e-11,-10.277897972285116,6.273537367639393,3.102237135008646e-19,-0.2722053682057579,-0.9622391789570657
50297327.394209355,162630769.23076928,0.13084632516703787,0.4230769230769232,5.2106277088449826e-11,2.9346326309204247e-13,5.2399740351541866e-11,-10.280670865004288,6.239974035154186,3.0622355181046183e-19,-0.29299739805478947,-0.9561132384467455
54149888.6414254,162630769.23076928,0.14086859688195993,0.4230769230769232,5.174823432408281e-11,2.962216294020451e-13,5.204445595348485e-11,-10.283625526999696,6.204445595348485,3.0201918426646693e-19,-0.31337318964705657,-0.9496300563958735
58002449.88864145,162630769.23076928,0.15089086859688203,0.4230769230769232,5.1371878056785856e-11,2.990258881576352e-13,5.167090394494349e-11,-10.286753940721283,6.167090394494349,2.976314246324863e-19,-0.3333159989503225,-0.9428151700326786
61855011.13585746,162630769.23076928,0.160913140311804,0.4230769230769232,5.0978604998426635e-11,3.018769832957238e-13,5.128048198172236e-11,-10.290047901566098,6.128048198172237,2.9308101699448083e-19,-0.3528115741819713,-0.9356943908794364
65707572.38307351,162630769.23076928,0.1709354120267261,0.4230769230769232,5.0569814315069065e-11,3.0477587470814846e-13,5.087459018977721e-11,-10.293499076126139,6.087459018977722,2.8838844049312967e-19,-0.3718481004705908,-0.9282935905070191
69560133.63028955,162630769.23076928,0.18095768374164817,0.4230769230769232,5.0146896799725416e-11,3.0772353785763727e-13,5.0454620337583054e-11,-10.297099057469918,6.045462033758305,2.835737346094358e-19,-0.3904161209577112,-0.9206385026145353
73412694.87750557,162630769.23076928,0.19097995545657015,0.4230769230769232,4.971122503821149e-11,3.107209633046714e-13,5.002194600151616e-11,-10.300839416938166,6.002194600151616,2.7865634633546854e-19,-0.40850843783923163,-0.9127545432448697
77265256.12472162,162630769.23076928,0.20100222717149224,0.4230769230769232,4.926414463263139e-11,3.1376915613554287e-13,4.9577913788766935e-11,-10.304711752055672,5.957791378876694,2.7365499984341356e-19,-0.42611999690468627,-0.9046666503403064
81117817.37193766,162630769.23076928,0.2110244988864143,0.4230769230769232,4.880696651617457e-11,3.168691352810021e-13,4.912383565145557e-11,-10.308707730278412,5.912383565145557,2.685875886242404e-19,-0.44324775908104647,-0.8963991432780547
84970378.61915368,162630769.23076928,0.22104677060133632,0.4230769230769232,4.8340960365185167e-11,3.2002193271392247e-13,4.866098229789909e-11,-10.312819128404557,5.866098229789909,2.6347108951611683e-19,-0.45989056234691694,-0.8879756025163283
88822939.86636972,162630769.23076928,0.23106904231625838,0.4230769230769232,4.786734909037306e-11,3.232285925133574e-13,4.819057768288642e-11,-10.317037867577477,5.8190577682886415,2.5832149758932567e-19,-0.4760489771681724,-0.8794187690384694
92675501.11358577,162630769.23076928,0.24109131403118048,0.4230769230769232,4.738730436884743e-11,3.2649016978123407e-13,4.771379453862866e-11,-10.321356043896788,5.771379453862866,2.531537805004762e-19,-0.4917251583376131,-0.8707504629099255
96528062.36080179,162630769.23076928,0.2511135857461025,0.4230769230769232,4.690194316242993e-11,3.298077293967101e-13,4.723175089182664e-11,-10.325765954728945,5.723175089182664,2.4798185067086503e-19,-0.5069226957962781,-0.8619915199621363
100380623.60801783,162630769.23076928,0.2611358574610245,0.4230769230769232,4.6412325155334175e-11,3.331823445919092e-13,4.6745507499926085e-11,-10.330260120871532,5.6745507499926084,2.428185534746822e-19,-0.5216464666866494,-0.8531617453879038
104233184.85523388,162630769.23076928,0.2711581291759466,0.4230769230769232,4.591945103553677e-11,3.3661509533134454e-13,4.6256066130868116e-11,-10.334831304775575,5.625606613086812,2.3767566953310646e-19,-0.5359024905558204,-0.8442798828682753
108085746.1024499,162630769.23076928,0.2811804008908686,0.4230769230769232,4.5424261538671254e-11,3.4010706647583803e-13,4.576436860514709e-11,-10.339472525068373,5.576436860514709,2.325639291886388e-19,-0.549697789297868,-0.835363597747135
111938307.34966594,162630769.23076928,0.2912026726057907,0.4230769230769232,4.4927637170649157e-11,3.4365934571013426e-13,4.527129651635929e-11,-10.344177067646616,5.527129651635929,2.274930372691029e-19,-0.5630402531094132,-0.8264294727189297
