catalog,cid,z,mu_obs,muerr,weight,stam_mu_union,stam_mu_original,stam_mu_des,lcdm_mu,z_bin,mu_corrected_catalog_linear_z,raw_resid_to_stam_union,corrected_resid_to_stam_union,corrected_resid_to_lcdm
DES,1697026,0.26046,40.98259,0.24,17.36111111111111,40.461193724959784,40.476064589837286,40.594503701664465,40.60348089497393,0.25-0.28,40.66130491460593,0.5213962750402175,0.20011118964614383,0.05782401963200101
DES,1261963,0.27963,40.93028,0.2183,20.98420539843865,40.63332644542851,40.6480755142902,40.7655735597221,40.779840073215105,0.25-0.28,40.622593459467204,0.29695355457149475,-0.010732985961304564,-0.15724661374790116
DES,1289664,0.25907,40.23541,0.1301,59.080669336719055,40.44826910412243,40.46314887858603,40.58165681294686,40.59023380668288,0.25-0.28,39.91313889596445,-0.2128591041224297,-0.5351302081579803,-0.6770949107184308
DES,1291242,0.27905,40.89237,0.2187,20.9075158128769,40.62827777697939,40.64303050157818,40.76055680005365,40.77466948818297,0.25-0.28,40.58427202722831,0.2640922230206115,-0.04400574975107929,-0.1903974609546637
DES,1502065,0.27316,40.71483,0.1397,51.23977190103142,40.57646185976119,40.59125181190764,40.70906579658188,40.7215946164647,0.25-0.28,40.40255386190578,0.1383681402388106,-0.17390799785540878,-0.31904075455891956
DES,1334087,0.26628,40.58229,0.1056,89.67516069788797,40.5146371577921,40.529470833358275,40.64762264792478,40.658250788831914,0.25-0.28,40.26513342431342,0.0676528422078988,-0.24950373347868293,-0.39311736451849555
DES,1345553,0.31794,41.1955,0.1235,65.5640971004278,40.94750658417344,40.962018132800104,41.077679633625266,41.10128182655159,0.28-0.32,40.914989268211876,0.24799341582656353,-0.03251731596156304,-0.1862925583397157
DES,1337838,0.31194,41.03821,0.1303,58.899440396416786,40.90063395652099,40.91518219834854,41.03112753148366,41.05337253578759,0.28-0.32,40.75344307263714,0.1375760434790081,-0.1471908838838516,-0.2999294631504483
DES,1338128,0.31184,41.13838,0.1588,39.65509583843562,40.89984590613095,40.91439476108403,41.030344836563124,41.05256689805552,0.28-0.32,40.853542136044226,0.238534093869049,-0.04630377008672326,-0.19902476201129105
DES,1294743,0.31257,41.05905,0.2082,23.069519535730535,40.90559345900366,40.92013783932833,41.03605330461659,41.05844260422262,0.28-0.32,40.774729973172484,0.15345654099633776,-0.13086348583117768,-0.2837126310501361
DES,1299503,0.29498,43.93669,248.0366,1.6254307102578096e-05,40.76361299619095,40.77826596827632,40.895021189271915,40.913221296509235,0.28-0.32,43.639892226479226,3.1730770038090483,2.876279230288276,2.726670929969991
DES,1880686,0.31406,41.01342,0.1067,87.8357190978569,40.91728742374248,40.93182267945855,41.04766756613011,41.070396459385314,0.28-0.32,40.730156928406885,0.09613257625752425,-0.18713049533559456,-0.3402395309784296
DES,1913214,0.31615,41.10099,0.1151,75.48303481051117,40.933606659130355,40.94812913517445,41.06387516705158,41.087076444040136,0.28-0.32,40.81920950319875,0.16738334086964812,-0.11439715593160571,-0.26786694084138674
DES,1313594,0.28834,40.84993,0.0989,102.23683981838647,40.708025143081734,40.722719529949,40.83979492082745,40.856325770082194,0.28-0.32,40.54842203670986,0.14190485691826638,-0.15960310637187547,-0.3079037333723349
DES,1266255,0.29358,40.99129,0.1076,86.3724934702395,40.75198734407831,40.7666490287629,40.88347160965125,40.90132382440811,0.28-0.32,40.69349911417846,0.23930265592169064,-0.05848822989985081,-0.20782471022965154
DES,1255576,0.2801,40.7781,0.1056,89.67516069788797,40.637410655089,40.652156762871726,40.76963192356024,40.784022808372875,0.28-0.32,40.47074686145389,0.14068934491100293,-0.16666379363510941,-0.31327594691898497
DES,1300179,0.31722,41.10583,0.1381,52.43395811890029,40.94192402018933,40.95643996222418,41.07213544951495,41.09557678544945,0.28-0.32,40.8248085247429,0.16390597981066435,-0.11711549544643418,-0.2707682607065536
DES,1249483,0.28303,40.69138,0.1073,86.85614624490479,40.66273274501983,40.677460420086206,40.794793117123206,40.809953695739836,0.28-0.32,40.386105303626216,0.02864725498017151,-0.2766274413936145,-0.42384839211361935
DES,1901115,0.29874,40.92345,0.1893,27.906075962013137,40.79459154421073,40.80922116791235,40.92579586344499,40.94491965000411,0.28-0.32,40.62931944237273,0.12885845578927047,-0.16527210183799923,-0.31560020763137686
DES,1319821,0.3088,41.09949,0.1098,82.94597562715452,40.87578006766341,40.890347586330144,41.00644201449569,41.02796152856298,0.28-0.32,40.8124956636197,0.22370993233658965,-0.0632844040437135,-0.21546586494328324
DES,1861178,0.29093,40.58483,0.1372,53.12412345196305,40.72984394199469,40.74452214678409,40.861472443410555,40.878660218861015,0.28-0.32,40.28515929446628,-0.14501394199469075,-0.44468464752840475,-0.593500924394732
DES,1721068,0.29376,40.89113,0.1816,30.32273088940208,40.75348487049674,40.768145434409625,40.884959350385465,40.90285641524711,0.28-0.32,40.5934668000457,0.13764512950325525,-0.160018070451045,-0.30938961520141106
DES,1531089,0.29149,40.74212,0.1116,80.29187703138447,40.73453843734515,40.749213147991966,40.86613643236157,40.883465265683434,0.28-0.32,40.44284653938659,0.0075815626548489945,-0.29169189795855743,-0.4406187262968402
DES,1256680,0.29438,41.07496,0.1846,29.345168435397788,40.75863668498144,40.77329338976965,40.8900774697743,40.908128744759985,0.28-0.32,40.77773660692175,0.3163233150185576,0.019099921940309628,-0.13039213783823556
DES,1850045,0.31314,40.95914,0.1765,32.10041008273881,40.91007289295473,40.92461378130465,41.040502236562496,41.06302172587492,0.28-0.32,40.67522431175208,0.04906710704526773,-0.23484858120264818,-0.3877974141228364
DES,1262550,0.29209,40.82885,0.1078,86.05229914532855,40.73955922333678,40.754230192104956,40.871124548617644,40.88860412960403,0.28-0.32,40.530002158944065,0.08929077666322627,-0.20955706439271182,-0.35860197065996857
DES,1592028,0.3251,41.15482,0.1419,49.6632582772511,41.002413249193864,41.016881252104355,41.13220586010043,41.15737818473292,0.32-0.35,40.87938832826439,0.15240675080613642,-0.12302492092947404,-0.2779898564685297
