catalog,cid,z,mu_obs,muerr,weight,stam_mu_union,stam_mu_original,stam_mu_des,lcdm_mu,z_bin,mu_corrected_catalog_linear_z,raw_resid_to_stam_union,corrected_resid_to_stam_union,corrected_resid_to_lcdm
DES,1323016,0.33485,41.43045,0.2227,20.163205014024513,41.07546445548777,41.08987357934307,41.20474257376489,41.231967810741935,0.32-0.35,41.16193464607333,0.35498554451223185,0.08647019058555827,-0.0700331646686081
DES,1292033,0.32472,41.23036,0.149,45.04301608035674,40.99952658704032,41.01399689446828,41.129339332916814,41.15442966686156,0.32-0.35,40.95465876921132,0.23083341295967585,-0.044867817829000955,-0.19977089765023948
DES,1303215,0.32869,41.61532,0.2189,20.86932857735248,41.029536420589764,41.04398268804476,41.159139116907085,41.18507867719844,0.32-0.35,41.34243495194993,0.5857835794102328,0.3128985313601689,0.15735627475149272
DES,1337687,0.32869,41.13399,0.1199,69.56033002202975,41.029536420589764,41.04398268804476,41.159139116907085,41.18507867719844,0.32-0.35,40.86110495194993,0.10445357941023303,-0.16843146863983094,-0.3239737252485071
DES,1909375,0.33753,41.21254,0.0889,126.53086530662856,41.0952105891753,41.109603612712725,41.22434800204162,41.25212054231377,0.32-0.35,40.94592574676337,0.11732941082469495,-0.14928484241193019,-0.30619479555039675
DES,1593067,0.34776,41.64355,0.2071,23.315235270541827,41.16931945834857,41.183651353724144,41.29792258070525,41.32771795809458,0.32-0.35,41.384192560218295,0.47423054165142986,0.21487310186972763,0.056474602123714135
DES,1871017,0.3372,41.11461,0.0989,102.23683981838647,41.09278674455889,41.10718174865545,41.2219414665492,41.24964700715191,0.32-0.35,40.84776165600677,0.02182325544110597,-0.24502508855212568,-0.4018853511451397
DES,1339217,0.33191,41.09795,0.2958,11.428879681783418,41.05363942185711,41.06806624948402,41.183072249278794,41.209688701099466,0.32-0.35,40.827349110241705,0.04431057814288408,-0.2262903116154078,-0.3823395908577609
DES,1531108,0.34387,41.34527,0.1924,27.014060278093545,41.14137147345741,41.15572655179007,41.270177240082944,41.29921573231994,0.32-0.35,41.08315312675401,0.2038985265425879,-0.05821834670339854,-0.2160626055659236
DES,1256570,0.34548,41.36581,0.1073,86.85614624490479,41.15297267611779,41.167318150356756,41.281694494546706,41.31104806967167,0.32-0.35,41.1048352058999,0.2128373238822121,-0.04813747021788828,-0.20621286377176773
DES,1346966,0.33513,41.11304,0.13,59.17159763313609,41.07753408129876,41.09194152134643,41.20679748466401,41.23408024287596,0.32-0.35,40.84472326853348,0.03550591870124009,-0.2328108127652797,-0.3893569743424834
DES,1263197,0.33778,40.99379,0.1457,47.10650639777017,41.097045425457914,41.111436948934546,41.22616972844084,41.25399295286038,0.32-0.35,40.72735308824566,-0.10325542545791677,-0.3696923372122569,-0.5266398646147223
DES,1309330,0.34472,42.25376,7.0706,0.020002646606179873,41.147502357383836,41.16185236363037,41.27626378988929,41.305468951526414,0.32-0.35,41.99224608779377,1.106257642616164,0.844743730409931,0.6867771362673523
DES,1929216,0.33584,41.31977,0.1783,31.45555220379172,41.08277513801174,41.09717831016792,41.212001243581305,41.23942950286148,0.32-0.35,41.05195691834316,0.2369948619882578,-0.030818219668582003,-0.18747258451832494
DES,1305626,0.32572,41.14461,0.1054,90.01580677566982,41.00711658133989,41.021580825823634,41.1368763538634,41.16218213193261,0.32-0.35,40.86961813514044,0.13749341866010667,-0.1374984461994515,-0.29256399679216827
DES,1287437,0.33681,41.40221,0.3103,10.38571615069217,41.089919465932056,41.10431681139226,41.21909465014481,41.24672086751393,0.32-0.35,41.13508500329441,0.31229053406794094,0.04516553736235096,-0.11163586421952232
DES,1336150,0.3481,41.72694,0.2574,15.093255186495277,41.17174894128025,41.186078813939844,41.300334382103955,41.33019520141933,0.32-0.35,41.467823744634195,0.5551910587197497,0.296074803353946,0.13762854321486628
DES,1366482,0.32154,41.20996,0.1495,44.74222883412938,40.97525036272302,40.989739984140016,41.10523185178218,41.129630178089485,0.32-0.35,40.932002985556714,0.23470963727698546,-0.04324737716630267,-0.19762719253277083
DES,1340700,0.3255,41.0611,0.1836,29.665703124629175,41.005448576041445,41.01991415393695,41.13521999899168,41.160478468130556,0.32-0.35,40.78595207463604,0.055651423958558155,-0.219496501405402,-0.3745263934945129
DES,1891147,0.32274,41.12372,0.141,50.29928072028571,40.98443638601668,40.99891871308195,41.11435414687507,41.13901484316422,0.32-0.35,40.846614224671654,0.13928361398331646,-0.1378221613450279,-0.2924006184925645
DES,1318661,0.34451,41.44891,0.1724,33.645383045956905,41.145988924303026,41.160340183319796,41.27476130710437,41.30392535848408,0.32-0.35,41.18724712094865,0.3029210756969718,0.04125819664562158,-0.1166782375354316
