catalog,cid,z,mu_obs,muerr,weight,D_geo_mly,observed_distance_mly,observed_avg_A_required,pred_avg_A_constant_avg_A,pred_distance_mly_constant_avg_A,pred_mu_constant_avg_A,resid_mu_constant_avg_A,resid_avg_A_constant_avg_A,pred_avg_A_linear_avg_A,pred_distance_mly_linear_avg_A,pred_mu_linear_avg_A,resid_mu_linear_avg_A,resid_avg_A_linear_avg_A,pred_avg_A_quadratic_avg_A,pred_distance_mly_quadratic_avg_A,pred_mu_quadratic_avg_A,resid_mu_quadratic_avg_A,resid_avg_A_quadratic_avg_A,pred_avg_A_power_1pz_avg_A,pred_distance_mly_power_1pz_avg_A,pred_mu_power_1pz_avg_A,resid_mu_power_1pz_avg_A,resid_avg_A_power_1pz_avg_A,pred_avg_A_integral_alpha_u_beta_u2,pred_distance_mly_integral_alpha_u_beta_u2,pred_mu_integral_alpha_u_beta_u2,resid_mu_integral_alpha_u_beta_u2,resid_avg_A_integral_alpha_u_beta_u2,pred_avg_A_integral_alpha_u_only,pred_distance_mly_integral_alpha_u_only,pred_mu_integral_alpha_u_only,resid_mu_integral_alpha_u_only,resid_avg_A_integral_alpha_u_only
DES,2003fa,0.04056,36.16885,0.1017,96.68477572515998,546.2838803674956,558.7221322035211,0.022768842872790022,0.3744821940552235,750.8574664645166,36.81065814328922,-0.641808143289218,-0.35171335118243346,0.07310423553393912,586.2195458262752,36.27317209803339,-0.10432209803339276,-0.0503353926611491,0.04324292561098123,569.9067935687053,36.21188979477271,-0.04303979477271014,-0.02047408273819121,0.017156345658494766,555.6561154467441,36.15690111709982,0.011948882900178148,0.005612497214295256,0.015181783798911089,554.5774441320651,36.15268163424315,0.016168365756847436,0.007587059073878933,0.011635706975670877,552.6402795249843,36.145083302498335,0.023766697501663714,0.011133135897119145
DES,2005iq,0.03341,36.04919,0.0898,124.00732139225498,449.5041481177459,528.7664299067735,0.17633270376020013,0.3744821940552235,617.8354477418035,36.387234734370296,-0.3380447343702926,-0.19814949029502335,0.07132327746707036,481.56425719654703,35.84614185030047,0.20304814969953355,0.10500942629312977,0.040912464192088854,467.8944704818086,35.783610188656176,0.2655798113438266,0.13542023956811128,0.014166378898920856,455.8719941966185,35.72708518873115,0.3221048112688507,0.16216632486127927,0.01251688980019728,455.13054200446726,35.723550526049635,0.32563947395036763,0.16381581396000286,0.009584540681882742,453.8124389120554,35.7172526029356,0.33193739706440084,0.16674816307831739
DES,2005ms,0.02669,35.48988,0.1058,89.33644462391142,358.73189980563507,408.6974001632417,0.13928368339887948,0.3744821940552235,493.07060872244784,35.897416202688305,-0.4075362026883056,-0.235198510656344,0.06964942596925805,383.717370703959,35.35292792447837,0.13695207552162714,0.06963425742962143,0.038719204950636486,372.6217137565406,35.289211419265605,0.2006685807343942,0.10056447844824298,0.011343008198135399,362.80099868606305,35.231212994115424,0.2586670058845755,0.1279406752007441,0.010007821146699184,362.32202449850547,35.22834429638782,0.26153570361218215,0.1292758622521803,0.007656731242126619,361.47861355042426,35.223283664118966,0.26659633588103304,0.13162695215675285
DES,2006al,0.06886,37.60919,0.0802,155.4716699523013,931.3566809496382,1084.5857024573916,0.16452238400385621,0.3744821940552235,1280.1331742796494,37.969146386433586,-0.35995638643358774,-0.20995981005136727,0.08015334228811896,1006.0080317901209,37.44587786505258,0.16331213494741803,0.08436904171573725,0.05243522154513951,980.1925748527783,37.38942766635667,0.21976233364333098,0.11208716245871671,0.02885167864577628,958.2278846129939,37.34021464852095,0.2689753514790496,0.13567070535807993,0.025681744901987807,955.2755456425488,37.333513926062196,0.27567607393780236,0.13884063910186842,0.019754309229405735,949.7549888279902,37.32092854210343,0.2882614578965672,0.14476807477445047
DES,2006oa,0.06153,37.2229,0.1098,82.94597562715452,831.3100839038215,907.8328110855228,0.09205076260154531,0.3744821940552235,1142.6209080643564,37.722381458056105,-0.49948145805610267,-0.28243143145367816,0.07832754891327308,896.4245651628952,37.19543937078838,0.02746062921162462,0.013723213688272229,0.05005918679201997,872.9247906760526,37.137754761923276,0.08514523807672703,0.04199157580952534,0.025843451467032347,852.7940057112444,37.087091319919686,0.13580868008031644,0.06620731113451296,0.022969467497408497,850.4048338563183,37.0809992253892,0.14190077461080364,0.06908129510413681,0.017651505182766987,845.9839581583362,37.069681264103764,0.1532187358962389,0.07439925741877831
DES,2008050,0.04625,36.31584,0.1717,33.92027852619104,623.4483056814088,597.8522596568125,-0.04105560283241225,0.3744821940552235,856.9185950729943,37.097568460195475,-0.7817284601954739,-0.4155377968876357,0.0745215294361046,669.9086269451354,36.56294847764174,-0.2471084776417385,-0.11557713226851685,0.045095203102564756,651.5628336500617,36.502652141642116,-0.18681214164211468,-0.08615080593497701,0.01952552137454839,635.6214588999171,36.44886337864649,-0.1330233786464916,-0.060581124206960636,0.01729903655227811,634.2333607098473,36.444116035760594,-0.12827603576059232,-0.058354639384690356,0.013268033718559617,631.7202388229686,36.43549457916092,-0.11965457916091538,-0.05432363655097186
DES,2005ir,0.0752,37.78693,0.0745,180.17206432142697,1018.0648798307907,1177.0959760539483,0.15620919587127854,0.3744821940552235,1399.3120497203925,38.16244349440279,-0.3755134944027887,-0.21827299818394494,0.08173254146909069,1101.2739098397856,37.642347377343675,0.1445826226563227,0.07447665440218786,0.054487601341175786,1073.5367931424628,37.58695529237065,0.19997470762935166,0.10172159453010277,0.03144199377446629,1050.0748694444333,37.53897194973628,0.2479580502637191,0.12476720209681225,0.028023568883704723,1046.5946911188094,37.531763261923246,0.2551667380767526,0.12818562698757383,0.021573105635366123,1040.0277010270365,37.518095158932816,0.26883484106718214,0.13463609023591241
DES,2008cf,0.04682,36.57974,0.0945,111.97894795778393,631.1854747956332,675.1089648185742,0.06958887961920013,0.3744821940552235,867.5531962528898,37.12435119553835,-0.5446111955383515,-0.30489331443602335,0.07466350791136547,678.311996486576,36.59001811461185,-0.010278114611850242,-0.005074628292165345,0.04528064339422736,659.7659591954705,36.52982014595821,0.049919854041789335,0.024308236224972767,0.01976235824111747,643.6591882651344,36.47615049076595,0.1035895092340482,0.04982652137808266,0.017510963914179622,642.238140867934,36.471351092863976,0.10838890713602467,0.0520779157050205,0.013431553269253216,639.6632761231297,36.46262771492406,0.11711228507594029,0.05615732634994691
DES,2005lz,0.04643,36.44687,0.1231,65.9908761014702,625.8914812777331,635.0382358035947,0.014613962323291084,0.3744821940552235,860.2766964270924,37.10606141818395,-0.6591914181839513,-0.3598682317319324,0.07456636474408172,672.5619337609021,36.571532040239276,-0.12466204023927929,-0.05995240242079064,0.045153765417601216,654.1528384002228,36.51126677552019,-0.06439677552019418,-0.030539803094310133,0.01960032171234848,638.159155667795,36.45751564692999,-0.010645646929994257,-0.004986359389057395,0.01736596432717304,636.7606904142837,36.45275184951805,-0.005881849518054594,-0.0027520020038819554,0.013319671471410227,634.2281501851069,36.44409819602227,0.002771803977729803,0.0012942908518808575
DES,2001eh,0.03725,36.01068,0.1125,79.01234567901234,501.45543207683795,519.471678703196,0.0359279119816123,0.3744821940552235,689.2415625018823,36.6247279162398,-0.614047916239798,-0.33855428207361116,0.07227976403724883,537.7005123825485,36.08557287634619,-0.07489287634619046,-0.03635185205563653,0.042164471130206105,522.5990351657268,36.023713642670614,-0.013033642670613688,-0.0062365591485938066,0.015773971625059207,509.36537583364975,35.96801772681566,0.042662273184340904,0.02015394035655309,0.013948711210784042,508.45008908395675,35.9641122635406,0.04656773645940149,0.021979200770828256,0.010686146076029095,506.8140580746293,35.95711388921044,0.05356611078956064,0.025241765905583205
