trial,z_bin,z_left,z_right,z_center,n_des_train,n_union_ref,des_mu_median,union_mu_median,delta_mu_des_minus_union,valid_bin
5,0.80-1.00,0.8,1.0,0.9,85,7,43.66835,43.5331,0.1352499999999992,True
6,0.00-0.05,0.0,0.05,0.025,106,646,36.01068,35.2665,0.7441800000000001,True
6,0.05-0.10,0.05,0.1,0.07500000000000001,45,97,37.1975,37.1925,0.0049999999999954525,True
6,0.10-0.15,0.1,0.15,0.125,13,86,39.00672,38.802,0.2047200000000018,True
6,0.15-0.20,0.15,0.2,0.175,20,123,39.74864,39.5427,0.20593999999999824,True
6,0.20-0.25,0.2,0.25,0.225,52,140,40.25625,40.1351,0.12115000000000009,True
6,0.25-0.28,0.25,0.28,0.265,38,72,40.65338,40.5139,0.13947999999999894,True
6,0.28-0.32,0.28,0.32,0.30000000000000004,62,100,40.93135,40.9018,0.02955000000000041,True
6,0.32-0.35,0.32,0.35,0.33499999999999996,81,71,41.22274,41.1012,0.12154000000000309,True
6,0.35-0.40,0.35,0.4,0.375,98,66,41.44872,41.3794,0.06932000000000471,True
6,0.40-0.50,0.4,0.5,0.45,205,100,41.98488,41.8131,0.17177999999999827,True
6,0.50-0.60,0.5,0.6,0.55,232,83,42.47573,42.3205,0.15522999999999598,True
6,0.60-0.70,0.6,0.7,0.6499999999999999,221,56,42.93812,42.7805,0.15761999999999432,True
6,0.70-0.80,0.7,0.8,0.75,95,47,43.30631,43.1675,0.13881000000000654,True
6,0.80-1.00,0.8,1.0,0.9,85,7,43.64768,43.5331,0.11458000000000368,True
7,0.00-0.05,0.0,0.05,0.025,106,646,35.99892,35.2665,0.7324199999999976,True
7,0.05-0.10,0.05,0.1,0.07500000000000001,45,97,37.36659,37.1925,0.17408999999999963,True
7,0.10-0.15,0.1,0.15,0.125,13,86,38.87889,38.802,0.07688999999999879,True
7,0.15-0.20,0.15,0.2,0.175,20,123,39.78048,39.5427,0.23777999999999366,True
7,0.20-0.25,0.2,0.25,0.225,52,140,40.25625,40.1351,0.12115000000000009,True
7,0.25-0.28,0.25,0.28,0.265,38,72,40.65338,40.5139,0.13947999999999894,True
7,0.28-0.32,0.28,0.32,0.30000000000000004,62,100,40.93882,40.9018,0.037019999999998277,True
7,0.32-0.35,0.32,0.35,0.33499999999999996,81,71,41.22103,41.1012,0.11983000000000033,True
7,0.35-0.40,0.35,0.4,0.375,98,66,41.45362,41.3794,0.07422000000000395,True
7,0.40-0.50,0.4,0.5,0.45,205,100,41.96413,41.8131,0.15102999999999867,True
7,0.50-0.60,0.5,0.6,0.55,232,83,42.46451,42.3205,0.14400999999999442,True
