body,r_body_radii,r_m,eps_fraction,eps_m,expected_dA_dr,numeric_dA_dr,relative_error_dA_dr,expected_g_m_s2,g_from_numeric_derivative_m_s2,relative_error_g,ratio_g_num_to_expected
Sun,10.0,6963400000.0,0.001,6963400.0,-6.090748547743407e-17,-6.090754638497965e-17,1.0000009866577534e-06,2.737045899834069,2.7370486368826694,1.0000009866022988e-06,1.0000010000009867
Sun,10.0,6963400000.0,0.0001,696340.0,-6.090748547743407e-17,-6.090748608651456e-17,1.0000092537442481e-08,2.737045899834069,2.7370459272047816,1.000009256874714e-08,1.0000000100000925
Sun,10.0,6963400000.0,1e-05,69634.0,-6.090748547743407e-17,-6.090748548370881e-17,1.0302075642115896e-10,2.737045899834069,2.737045900116042,1.0302080336122685e-10,1.0000000001030207
Sun,10.0,6963400000.0,1e-06,6963.4,-6.090748547743407e-17,-6.09074854738255e-17,-5.924674491053504e-11,2.737045899834069,2.7370458996719083,-5.924670512227092e-11,0.9999999999407533
Sun,10.0,6963400000.0,1e-07,696.3399999999999,-6.090748547743407e-17,-6.090748546242168e-17,-2.464786173198234e-10,2.737045899834069,2.7370458991594457,-2.46478682816644e-10,0.9999999997535213
Sun,25.0,17408500000.0,0.01,174085000.0,-9.745197676389453e-18,-9.746172293618776e-18,0.00010001000099611553,0.43792734397345107,0.43797114108755814,0.0001000100009962483,1.0001000100009962
Sun,25.0,17408500000.0,0.001,17408500.0,-9.745197676389453e-18,-9.745207421596894e-18,1.000001002038003e-06,0.43792734397345107,0.4379277819012339,1.0000010020871557e-06,1.000001000001002
Sun,25.0,17408500000.0,0.0001,1740850.0,-9.745197676389453e-18,-9.745197773839289e-18,9.999780379088511e-09,0.43792734397345107,0.43792734835262837,9.999780463192549e-09,1.0000000099997806
Sun,25.0,17408500000.0,1e-05,174085.0,-9.745197676389453e-18,-9.745197677332588e-18,9.677952452121361e-11,0.43792734397345107,0.4379273440158335,9.677959479216113e-11,1.0000000000967797
Sun,25.0,17408500000.0,1e-06,17408.5,-9.745197676389453e-18,-9.745197676268231e-18,-1.2439061393422188e-11,0.43792734397345107,0.4379273439680037,-1.243896928666049e-11,0.9999999999875611
Sun,25.0,17408500000.0,1e-07,1740.85,-9.745197676389453e-18,-9.745197670946451e-18,-5.585316747608131e-10,0.43792734397345107,0.4379273437288548,-5.585316629219535e-10,0.9999999994414683
Sun,50.0,34817000000.0,0.01,348170000.0,-2.436299419097363e-18,-2.436543073404694e-18,0.00010001000099611553,0.10948183599336277,0.10949278527188953,0.0001000100009962483,1.0001000100009962
Sun,50.0,34817000000.0,0.001,34817000.0,-2.436299419097363e-18,-2.4363018553992235e-18,1.000001002038003e-06,0.10948183599336277,0.10948194547530847,1.0000010020871557e-06,1.000001000001002
Sun,50.0,34817000000.0,0.0001,3481700.0,-2.436299419097363e-18,-2.4362994434598223e-18,9.999780379088511e-09,0.10948183599336277,0.10948183708815709,9.999780463192549e-09,1.0000000099997806
Sun,50.0,34817000000.0,1e-05,348170.0,-2.436299419097363e-18,-2.436299419333147e-18,9.677952452121361e-11,0.10948183599336277,0.10948183600395837,9.677959479216113e-11,1.0000000000967797
Sun,50.0,34817000000.0,1e-06,34817.0,-2.436299419097363e-18,-2.436299419067058e-18,-1.2439061393422188e-11,0.10948183599336277,0.10948183599200093,-1.243896928666049e-11,0.9999999999875611
Sun,50.0,34817000000.0,1e-07,3481.7,-2.436299419097363e-18,-2.4362994177366127e-18,-5.585316747608131e-10,0.10948183599336277,0.1094818359322137,-5.585316629219535e-10,0.9999999994414683
Sun,100.0,69634000000.0,0.01,696340000.0,-6.090748547743408e-19,-6.091357683511735e-19,0.00010001000099611553,0.02737045899834069,0.027373196317972383,0.0001000100009962483,1.0001000100009962
