catalog,cid,z,mu_obs,muerr,mB,lcdm_distance_mpc,lcdm_distance_mly,lcdm_mu,stam_su,stam_distance_mly,stam_distance_mpc,stam_mu,observed_distance_mpc,observed_distance_mly,lcdm_residual_mu,stam_residual_mu,lcdm_abs_residual_mu,stam_abs_residual_mu,lcdm_sq_residual_mu,stam_sq_residual_mu,lcdm_residual_sigma,stam_residual_sigma,weight,stam_minus_lcdm_mu
DES,2003ch,0.02919,35.74741,0.1139,16.43226,127.81241332989829,416.86833743993583,35.532865175953674,120.33496172944137,406.8334358816356,124.73569852452138,35.47995381725143,141.08537602512263,460.15895176687883,0.21454482404632813,0.26745618274857463,0.21454482404632813,0.26745618274857463,0.046029481525069894,0.07153280969043894,1.8836244429001592,2.348166661532701,77.08192498232897,-0.0529113587022465
DES,2008hj,0.03682,36.11617,0.0895,16.48279,162.13218122832737,528.8044492181797,36.049346127380986,151.9623898137154,515.056450499264,157.9170256578371,35.99214477767411,167.19912487530343,545.3306090721902,0.06682387261901113,0.12402522232588353,0.06682387261901113,0.12402522232588353,0.004465429951801825,0.015382255772984839,0.7466354482571076,1.3857566740322182,124.84004868761899,-0.057201349706872406
DES,2003U,0.02833,35.33929,0.1479,16.20729,123.96755909228348,404.32810013453127,35.466540250387695,116.77463550543933,394.684170180972,121.01071672589363,35.414119165996496,116.91170657224781,381.31498714638457,-0.12725025038769644,-0.07482916599649769,0.12725025038769644,0.07482916599649769,0.016192626223731438,0.005599404083731407,-0.8603803271649523,-0.5059443272244604,45.71551872713367,-0.05242108439119875
DES,2004gs,0.02857,35.54768,0.167,16.8921,125.04006276639566,407.8261392676425,35.48524591507054,117.76812330433573,398.07366693511835,122.04994115531848,35.432687871821074,128.68739215300693,419.72213667415406,0.0624340849294569,0.11499212817892612,0.0624340849294569,0.11499212817892612,0.0038980149609786374,0.013223189543118576,0.37385679598477184,0.6885756178378809,35.856430850873096,-0.05255804324946922
DES,2007R,0.03174,35.84381,0.1068,16.3683,139.2408070244427,454.1427723319286,35.7188326587136,130.89709657775222,442.91562511179,135.7985480372805,35.664475632389276,147.48980451401349,481.0474037322277,0.12497734128639593,0.1793343676107213,0.12497734128639593,0.1793343676107213,0.015619335835016283,0.03216081540633733,1.170199824778988,1.6791607454187387,87.67130973923044,-0.054357026324325375
DES,2004L,0.03373,35.9177,0.1835,16.97786,148.18842288935826,483.32599211850015,35.85407138017125,139.14526615124626,471.1343560929936,144.45045029007386,35.798594499962675,152.59489334260212,497.69797652881465,0.063628619828755,0.11910550003732823,0.063628619828755,0.11910550003732823,0.004048601261312235,0.014186120139141995,0.3467499718188284,0.6490762944813527,29.69804512617957,-0.05547688020857322
DES,2009ad,0.02844,35.46983,0.097,15.88406,124.4590772400568,405.9312179205553,35.47513288365054,117.22997527577975,396.23759380892585,121.48699857553417,35.422649013168346,124.15551050541521,404.9411156552497,-0.0053028836505362165,0.0471809868316555,0.0053028836505362165,0.0471809868316555,2.812057501112431e-05,0.00222604551840885,-0.054668903613775424,0.48640192609954125,106.28122010840684,-0.05248387048219172
DES,2005M,0.02598,35.16595,0.1391,15.63251,113.48557243733617,370.1404321602397,35.27470326319084,107.05048144766556,361.5360880595426,110.84746854250768,35.22362889724019,107.94188551606534,352.0593437123378,-0.10875326319083456,-0.057678897240187155,0.10875326319083456,0.057678897240187155,0.01182727225465493,0.0033268551868440694,-0.7818351056134764,-0.41465778030328654,51.682764986580565,-0.051074365950647405
DES,2007bd,0.0312,35.70509,0.1008,16.25512,136.8171909435629,446.23799391560004,35.68070334740532,128.65974094436996,435.2674257479041,133.45359945152398,35.62665145940194,138.36237241879016,451.2777018425475,0.024386652594678537,0.07843854059805722,0.024386652594678537,0.07843854059805722,0.0005947088247735415,0.00615260465115307,0.24193107732816008,0.7781601249807264,98.41899722852104,-0.05405188800337868
DES,2007jg,0.03756,36.30183,0.1224,16.98633,165.48051215328735,539.7252440730898,36.09373428171812,155.03360774070444,525.5939811705477,161.14784724986708,36.03612254105845,182.12350508683807,594.0074269493828,0.2080957182818821,0.2657074589415558,0.2080957182818821,0.2657074589415558,0.04330382796725245,0.07060045373717855,1.7001284173356384,2.1708125730519265,66.74783203041567,-0.05761174065967367
