catalog,cid,z,mu_obs,muerr,weight,stam_mu_union,stam_mu_des,stam_mu_original,lcdm_mu,mu_cal_linear_z_to_union,resid_calibrated_to_STAM_union,resid_raw_to_STAM_union
DES,1913214,0.31615,41.10099,0.1151,75.48303481051117,40.933606659130355,41.06387516705158,40.94812913517445,41.087076444040136,40.976386790506254,0.04278013137589909,0.16738334086964812
DES,1313594,0.28834,40.84993,0.0989,102.23683981838647,40.708025143081734,40.83979492082745,40.722719529949,40.856325770082194,40.72711631649722,0.019091173415482388,0.14190485691826638
DES,1266255,0.29358,40.99129,0.1076,86.3724934702395,40.75198734407831,40.88347160965125,40.7666490287629,40.90132382440811,40.86813913144894,0.11615178737063303,0.23930265592169064
DES,1255576,0.2801,40.7781,0.1056,89.67516069788797,40.637410655089,40.76963192356024,40.652156762871726,40.784022808372875,40.65581654642047,0.018405891331468638,0.14068934491100293
DES,1300179,0.31722,41.10583,0.1381,52.43395811890029,40.94192402018933,41.07213544951495,40.95643996222418,41.09557678544945,40.981157937834176,0.039233917644843075,0.16390597981066435
DES,1249483,0.28303,40.69138,0.1073,86.85614624490479,40.66273274501983,40.794793117123206,40.677460420086206,40.809953695739836,40.56890800592592,-0.09382473909391109,0.02864725498017151
DES,1901115,0.29874,40.92345,0.1893,27.906075962013137,40.79459154421073,40.92579586344499,40.80922116791235,40.94491965000411,40.799967094264,0.005375550053265954,0.12885845578927047
DES,1319821,0.3088,41.09949,0.1098,82.94597562715452,40.87578006766341,41.00644201449569,40.890347586330144,41.02796152856298,40.97535975044993,0.09957968278651919,0.22370993233658965
DES,1861178,0.29093,40.58483,0.1372,53.12412345196305,40.72984394199469,40.861472443410555,40.74452214678409,40.878660218861015,40.461849654421826,-0.26799428757286137,-0.14501394199469075
DES,1721068,0.29376,40.89113,0.1816,30.32273088940208,40.75348487049674,40.884959350385465,40.768145434409625,40.90285641524711,40.76796754875644,0.014482678259696513,0.13764512950325525
DES,1531089,0.29149,40.74212,0.1116,80.29187703138447,40.73453843734515,40.86613643236157,40.749213147991966,40.883465265683434,40.6191036193785,-0.11543481796665134,0.0075815626548489945
DES,1256680,0.29438,41.07496,0.1846,29.345168435397788,40.75863668498144,40.8900774697743,40.77329338976965,40.908128744759985,40.95175765281561,0.19312096783416877,0.3163233150185576
DES,1850045,0.31314,40.95914,0.1765,32.10041008273881,40.91007289295473,41.040502236562496,40.92461378130465,41.06302172587492,40.83473047886414,-0.07534241409059206,0.04906710704526773
DES,1262550,0.29209,40.82885,0.1078,86.05229914532855,40.73955922333678,40.871124548617644,40.754230192104956,40.88860412960403,40.70579501040351,-0.03376421293326359,0.08929077666322627
DES,1592028,0.3251,41.15482,0.1419,49.6632582772511,41.002413249193864,41.13220586010043,41.016881252104355,41.15737818473292,41.02964087329593,0.027227624102067693,0.15240675080613642
DES,1323016,0.33485,41.43045,0.2227,20.163205014024513,41.07546445548777,41.20474257376489,41.08987357934307,41.231967810741935,41.30464347745228,0.22917902196451223,0.35498554451223185
DES,1292033,0.32472,41.23036,0.149,45.04301608035674,40.99952658704032,41.129339332916814,41.01399689446828,41.15442966686156,41.10520532564676,0.10567873860643573,0.23083341295967585
DES,1303215,0.32869,41.61532,0.2189,20.86932857735248,41.029536420589764,41.159139116907085,41.04398268804476,41.18507867719844,41.48990986292888,0.4603734423391188,0.5857835794102328
