catalog,cid,z,mu_obs,muerr,weight,observed_distance_mly,lcdm_mu,stam_adjusted_union_mu,stam_adjusted_des_mu,stam_unadjusted_mu_equiv,resid_lcdm_mu,resid_stam_adjusted_union_mu,resid_stam_adjusted_des_mu,resid_stam_unadjusted_mu
DES,ASASSN-15ss,0.03599,36.14277,0.0907,121.55852617580521,552.0518569352512,35.9985123591819,35.94177250230612,36.088931853506395,35.85890200745294,0.1442576408180969,0.20099749769387643,0.053838146493603745,0.28386799254705863
DES,MASTERJ0134,0.04369,36.40534,0.1003,99.4026892403547,623.0083609490919,36.43173583810989,36.37076269727072,36.51739946237837,36.28239614956938,-0.02639583810988455,0.03457730272928217,-0.11205946237836883,0.12294385043062306
DES,PS16bby,0.05468,36.90225,0.0939,113.41456084180825,783.2057641046248,36.936178220941734,36.86934710129449,37.01524439265632,36.77318191205231,-0.03392822094173198,0.03290289870551533,-0.11299439265631861,0.12906808794769375
DES,PTSS17-niq,0.06897,37.40023,0.0847,139.3905010949124,985.0808468214558,37.46231033060175,37.38817832842792,37.533125187154994,37.28195229684256,-0.06208033060175211,0.01205167157208109,-0.13289518715499327,0.11827770315743891
DES,ASASSN-15bc,0.03753,36.16609,0.1296,59.537418076512736,558.0124324233344,36.091951406681815,36.034356285261644,36.18141082135794,35.950384455671774,0.07413859331818173,0.1317337147383526,-0.015320821357946102,0.2157055443282232
DES,ASASSN-15tg,0.03529,35.9573,0.095,110.80332409972299,506.85749754284996,35.95474347862252,35.89839380985773,36.04560085371599,35.816024273815984,0.0025565213774783047,0.05890619014226672,-0.08830085371599239,0.14127572618401274
DES,AT2017lm,0.03031,35.62306,0.1336,56.02567320448922,434.54811969252376,35.61642851816988,35.56288071962821,35.71042795735893,35.484081515499554,0.006631481830119412,0.06017928037179132,-0.08736795735892855,0.13897848450044847
DES,PS16bnz,0.06446,37.20911,0.0938,113.65651183618915,902.0858592765647,37.30857446482739,37.23670864380654,37.381954123519066,37.13364822664555,-0.0994644648273848,-0.02759864380653454,-0.17284412351906298,0.07546177335445492
DES,SN2016aqb,0.06384,37.1975,0.0646,239.6265659596085,897.275635325344,37.28663719084178,37.21508563012563,37.36037225821299,37.112461090256915,-0.0891371908417824,-0.017585630125630303,-0.16287225821299245,0.08503890974308348
DES,ASASSN-15fa,0.02741,35.58097,0.1446,47.825928923017464,426.20630988426893,35.393366510382975,35.341471427944285,35.489217496215666,35.2647564923528,0.18760348961702533,0.2394985720557159,0.09175250378433475,0.31621350764719836
DES,AT2017ns,0.02849,35.47203,0.1756,32.43030079752595,405.3515845564815,35.47902786256743,35.42651546148956,35.57418741990935,35.34902387070972,-0.006997862567430957,0.04551453851043874,-0.10215741990935356,0.12300612929027466
DES,SN2016ayg,0.04349,36.57204,0.092,118.14744801512288,672.7192806186488,36.42145691221122,36.36059237162757,36.50724266342756,36.27236824335415,0.1505830877887817,0.21144762837243292,0.06479733657243969,0.29967175664585
DES,AT2017oz,0.05614,36.99623,0.1009,98.22401164543882,817.846642386483,36.99566354973433,36.92807026140747,37.07386987617903,36.83087305655163,0.0005664502656657078,0.06815973859252722,-0.07763987617903467,0.1653569434483657
DES,ASASSN-16oz,0.03192,35.54453,0.1158,74.57321747638267,419.1137171371237,35.73140153109299,35.676942912652954,35.824379996092475,35.596988221459284,-0.18687153109299004,-0.13241291265295274,-0.27984999609247296,-0.052458221459282584
DES,AT2017po,0.03255,35.72144,0.1105,81.89840502856207,454.68840043755114,35.77485323377534,35.72003950916633,35.86743353352908,35.63963298929091,-0.05341323377533769,0.0014004908336744393,-0.1459935335290794,0.0818070107090918
DES,PS15ahs,0.02534,35.30465,0.1105,81.89840502856207,375.28039327101885,35.21950346479539,35.1687976504586,35.3166859708085,35.09357278216296,0.08514653520461479,0.1358523495414019,-0.01203597080849761,0.21107721783704392
DES,PS16cvc,0.02915,35.81677,0.1046,91.39798705073319,475.09436027903706,35.52982300838062,35.476934423812146,35.6245611294811,35.398968470416214,0.28694699161938075,0.339835576187852,0.1922088705188969,0.4178015295837838
DES,SN2016esh,0.04583,36.44319,0.1013,97.4498352610535,633.9629462415946,36.53894759828418,36.476816926497996,36.623309112098724,36.386927606162075,-0.09575759828418029,-0.0336269264979947,-0.18011911209872267,0.056262393837926084
