catalog,cid,z,mu_obs,muerr,mB,lcdm_distance_mpc,lcdm_distance_mly,lcdm_mu,stam_su,stam_distance_mly,stam_distance_mpc,stam_mu,observed_distance_mpc,observed_distance_mly,lcdm_residual_mu,stam_residual_mu,lcdm_abs_residual_mu,stam_abs_residual_mu,lcdm_sq_residual_mu,stam_sq_residual_mu,lcdm_residual_sigma,stam_residual_sigma,weight,stam_minus_lcdm_mu
DES,2005na,0.02748,35.27905,0.0994,15.70648,120.17209231186085,391.94894317049346,35.39901811361686,113.2566033073165,382.548504079674,117.2899045833878,35.34630316490804,113.71296927879987,370.88210146113454,-0.11996811361686355,-0.06725316490804545,0.11996811361686355,0.06725316490804545,0.014392348284788681,0.004522988190148756,-1.2069226722018465,-0.6765911962580025,101.21088705269847,-0.0527149487088181
DES,2006on,0.07089,37.37352,0.1761,18.17553,319.8677389453926,1043.2690304553169,37.52485220222548,294.06205504429255,1007.4564845808071,308.8875624613287,37.44900210765876,298.33485792974966,973.0381657417779,-0.1513322022254826,-0.07548210765875751,0.1513322022254826,0.07548210765875751,0.02290143543041436,0.00569754857660826,-0.8593537889010937,-0.4286320707481971,32.24640380043216,-0.07585009456672509
DES,2006cq,0.04944,36.83597,0.1159,17.31911,219.71073928574955,716.6005884525808,36.7092564270366,204.4314118092648,695.5204019453148,213.247524719049,36.64441999387313,232.9131451851525,759.6610772901222,0.12671357296340346,0.19155000612687445,0.12671357296340346,0.19155000612687445,0.016056329573151774,0.03669140484720564,1.093300888381393,1.6527179130877865,74.44458754348494,-0.06483643316347099
DES,2004as,0.03296,35.89486,0.1689,16.69655,144.7232701761678,472.02417555085003,35.80269183654108,135.9531849862749,460.04446272158486,141.05027352424975,35.74686966337352,150.99827988370865,492.4905199070136,0.09216816345892198,0.14799033662647787,0.09216816345892198,0.14799033662647787,0.008494970355390562,0.021901139734818238,0.5456966457011366,0.8762009273326102,35.05425171266311,-0.05582217316755589
DES,2007kk,0.04285,36.24371,0.1092,16.70215,189.51806075920544,618.1252418699916,36.38825301912744,177.00830485909378,600.9223509545023,184.24363042548777,36.32696241294366,177.3135806556987,578.3195516594812,-0.14454301912743972,-0.08325241294365782,0.14454301912743972,0.08325241294365782,0.020892684378475405,0.006930964260941324,-1.3236540213135506,-0.7623847339162804,83.85997396986407,-0.061290606183781904
DES,2006bu,0.08478,37.92895,0.1198,18.0318,386.23678028731973,1259.735891543993,37.93426814052664,352.40481547779126,1212.7371363117516,371.82689642177075,37.851704008205104,385.29200741236417,1256.6544545584904,-0.005318140526640036,0.07724599179489644,0.005318140526640036,0.07724599179489644,2.8282618661091162e-05,0.005966943248377208,-0.04439182409549279,0.6447912503747616,69.6765059183224,-0.08256413232153648
DES,2006mo,0.03702,36.05893,0.1337,17.14872,163.03679112507425,531.7548920888205,36.06142809501478,152.79238221999216,517.7186088588904,158.73324712166857,36.003339502369876,162.84933895584754,531.143504883938,-0.0024980950147863723,0.055590497630120694,0.0024980950147863723,0.055590497630120694,6.2404787029005254e-06,0.0030903034267644545,-0.01868433070146875,0.415785322588786,55.941896508610284,-0.05808859264490707
DES,2007su,0.0274,35.4032,0.2219,16.65248,119.81511161081292,390.78462784722444,35.39255798322561,112.9255402007785,381.4201535051978,116.94395072445083,35.33988880772721,120.40374630577705,392.70449744561625,0.010642016774390584,0.06331119227278492,0.010642016774390584,0.06331119227278492,0.00011325252102641057,0.0040083070670015415,0.04795861547719957,0.28531407062994557,20.30885297426198,-0.05266917549839434
DES,2010dt,0.05316,36.98605,0.1032,17.40374,236.87504409862166,772.5830632704669,36.87259654082008,219.93513991973424,749.1769310944496,229.69869134775723,36.8057926045762,249.58012621177627,814.0214988618376,0.11345345917991523,0.18025739542380137,0.11345345917991523,0.18025739542380137,0.012871687399888691,0.03249272860497269,1.0993552246115816,1.7466801882151295,93.89459768042786,-0.06680393624388614
DES,2007O,0.03818,36.04309,0.0932,16.43757,168.28855828587842,548.8838656204857,36.13027294939121,157.60730946541554,534.2374670816472,163.79795207832453,36.07154233795707,161.665742040891,527.2831280607304,-0.08718294939121307,-0.02845233795707003,0.08718294939121307,0.02845233795707003,0.007600866664550819,0.0008095355352233279,-0.9354393711503548,-0.3052825961059016,115.12461087881522,-0.05873061143414304
DES,2003ic,0.05126,36.49961,0.1333,17.34653,228.097472346802,743.9544532034911,36.79060236343019,212.0144401061709,721.7485683142114,221.2891170870704,36.72480028009152,199.49039947687695,650.6506605935512,-0.29099236343019186,-0.22519028009152464,0.29099236343019186,0.22519028009152464,0.08467655557468887,0.050710662247699316,-2.18298847284465,-1.6893494380459462,56.278135550391724,-0.06580208333866722
DES,2008Y,0.07056,37.36244,0.1087,18.24265,318.3052781300724,1038.172964858649,37.51421920070413,292.6788310623561,1002.6108165921813,307.4018739016622,37.438532553012365,296.8164728907873,968.0858561006778,-0.15177920070413364,-0.07609255301236573,0.15177920070413364,0.07609255301236573,0.023036925766385684,0.005790076623939688,-1.3963127939662707,-0.7000234867742937,84.63322920625033,-0.07568664769176792
DES,2005ku,0.04439,36.42577,0.1621,17.2928,196.5491374182944,641.0575468075552,36.46735571100957,183.4119514585306,622.9766683225779,191.00551487194892,36.405229533722384,192.82085310688234,628.8975097508245,-0.041585711009567206,0.020540466277616076,0.041585711009567206,0.020540466277616076,0.0017293713601712391,0.00042191075490188325,-0.256543559590174,0.1267147827120054,38.05694917989178,-0.06212617728718328
DES,2006py,0.05653,36.96139,0.1189,17.60873,252.499298670225,823.5425660082108,37.011300880905594,233.99489444335669,797.945061771919,244.6510681911372,36.942735581544646,246.76184003601335,804.8294787605677,-0.04991088090559259,0.018654418455355426,0.04991088090559259,0.018654418455355426,0.002491096032772247,0.0003479873279075051,-0.41977191678378967,0.15689166068423402,70.7353148181289,-0.06856529936094802
DES,2005eu,0.03516,35.99892,0.1263,16.22705,154.6337739307743,504.34791559878664,35.94652177617262,145.07535380001832,491.2690731045544,150.62378259150572,35.88946774885852,158.41051285416418,516.6659904627243,0.052398223827381685,0.10945225114147661,0.052398223827381685,0.10945225114147661,0.0027455738602643895,0.011979795279936867,0.41487113085812893,0.86660531386759,62.68928245220413,-0.057054027314094924
DES,2002hu,0.03705,36.05504,0.0933,16.4002,163.17250461748043,532.1975302995669,36.063234898960644,152.9168853290918,518.1455937982964,158.86416129926275,36.005129671516244,162.55786997409396,530.192860211223,-0.008194898960645958,0.04991032848375454,0.008194898960645958,0.04991032848375454,6.71563689751962e-05,0.00249104088935628,-0.08783385809909923,0.5349445711013349,114.87795939983161,-0.0581052274444005
DES,2009do,0.04099,36.20463,0.0963,16.84584,181.0460243771316,590.4931548972654,36.28894496252762,169.27792392409225,574.3276482690717,176.0896575119038,36.22866924385073,174.15101099432138,568.0046290128564,-0.08431496252762116,-0.024039243850729974,0.08431496252762116,0.024039243850729974,0.0071090129060341605,0.0005778852449148589,-0.8755447822182884,-0.24962870042294885,107.8319417621249,-0.06027571867689119
DES,2007cq,0.0251,34.98002,0.1331,15.60382,109.56957320789563,357.3681509266525,35.19844985000762,103.41084609324025,349.0167149554865,107.00901129810883,35.14710175722311,99.08410708342592,323.16913444060697,-0.21842985000761672,-0.1670817572231087,0.21842985000761672,0.1670817572231087,0.04771159937434994,0.027916313596761836,-1.6410957926943406,-1.2553099716236567,56.44739300537774,-0.051348092784508026
DES,2006S,0.03393,36.02516,0.1264,16.55778,149.0890836472719,486.26355462097604,35.86722922714714,139.97449758311487,473.8036912307406,145.26887216408076,35.81086282387689,160.3363526528258,522.9472397884182,0.15793077285285761,0.21429717612311094,0.15793077285285761,0.21429717612311094,0.02494212901390091,0.04592327969433963,1.2494523168738734,1.6953890516068901,62.59012978689312,-0.05636640327025333
