x_m_from_earth,x_earth_moon_units,distance_to_earth_m,distance_to_moon_m,A_total,grad_A_x,g_stam_x_m_s2,g_newton_x_m_s2,ratio_STAM_to_newton_x,abs_error_x_m_s2
11313839.813562714,0.029432465696052845,11313839.813562714,373086160.1864373,7.842969169301476e-10,-6.929528667018588e-17,-3.1139748878440963,-3.1139748878440963,1.0,0.0
11389080.74814963,0.02962820173816241,11389080.74814963,373010919.25185037,7.791175199776337e-10,-6.838271428484742e-17,-3.0729659299793384,-3.072965929979338,1.0000000000000002,4.440892098500626e-16
11464321.682736548,0.029823937780271977,11464321.682736548,372935678.3172634,7.740061091215324e-10,-6.74880506451678e-17,-3.0327617510098595,-3.032761751009859,1.0000000000000002,4.440892098500626e-16
11539562.617323466,0.030019673822381545,11539562.617323466,372860437.38267654,7.689613545014956e-10,-6.661083019860686e-17,-2.993341430047836,-2.9933414300478356,1.0000000000000002,4.440892098500626e-16
11614803.551910382,0.03021540986449111,11614803.551910382,372785196.4480896,7.639819607166253e-10,-6.575060242291585e-17,-2.9546847216330585,-2.9546847216330585,1.0,0.0
11690044.4864973,0.030411145906600677,11690044.4864973,372709955.5135027,7.590666657165121e-10,-6.490693124757455e-17,-2.9167720297336097,-2.9167720297336097,1.0,0.0
11765285.421084218,0.030606881948710245,11765285.421084218,372634714.5789158,7.542142397348274e-10,-6.4079394501045e-17,-2.8795843829066876,-2.8795843829066876,1.0,0.0
11840526.355671134,0.030802617990819806,11840526.355671134,372559473.6443289,7.494234842635714e-10,-6.326758338253397e-17,-2.8431034105607913,-2.843103410560791,1.0000000000000002,4.440892098500626e-16
11915767.290258052,0.030998354032929377,11915767.290258052,372484232.70974195,7.446932310661861e-10,-6.247110195702935e-17,-2.8073113202637936,-2.807311320263793,1.0000000000000002,4.440892098500626e-16
11991008.22484497,0.031194090075038945,11991008.22484497,372408991.775155,7.400223412278221e-10,-6.168956667244707e-17,-2.7721908760445997,-2.7721908760445997,1.0,0.0
12066249.159431886,0.03138982611714851,12066249.159431886,372333750.8405681,7.354097042411381e-10,-6.092260589778766e-17,-2.737725377638942,-2.737725377638942,1.0,0.0
12141490.094018804,0.03158556215925808,12141490.094018804,372258509.9059812,7.308542371260933e-10,-6.016985948126491e-17,-2.7038986406326724,-2.7038986406326715,1.0000000000000002,8.881784197001252e-16
12216731.028605722,0.031781298201367644,12216731.028605722,372183268.9713943,7.263548835822658e-10,-5.943097832742572e-17,-2.670694977458472,-2.6706949774584716,1.0000000000000002,4.440892098500626e-16
12291971.963192638,0.031977034243477205,12291971.963192638,372108028.03680736,7.219106131723035e-10,-5.870562399233349e-17,-2.6380991792043047,-2.638099179204305,0.9999999999999998,4.440892098500626e-16
12367212.897779556,0.03217277028558677,12367212.897779556,372032787.1022204,7.175204205351818e-10,-5.799346829593893e-17,-2.606096498194228,-2.606096498194228,1.0,0.0
12442453.832366474,0.03236850632769634,12442453.832366474,371957546.16763353,7.131833246280063e-10,-5.729419295080933e-17,-2.574672631304318,-2.574672631304318,1.0,0.0
12517694.76695339,0.03256424236980591,12517694.76695339,371882305.2330466,7.088983679951609e-10,-5.660748920643198e-17,-2.5438137039784623,-2.5438137039784623,1.0,0.0
12592935.701540308,0.032759978411915476,12592935.701540308,371807064.2984597,7.04664616063654e-10,-5.593305750834947e-17,-2.5135062549106664,-2.513506254910666,1.0000000000000002,4.440892098500626e-16
12668176.636127226,0.032955714454025044,12668176.636127226,371731823.36387277,7.00481156463578e-10,-5.5270607171424406e-17,-2.483737221362299,-2.483737221362299,1.0,0.0
12743417.570714142,0.033151450496134605,12743417.570714142,371656582.4292859,6.96347098372641e-10,-5.461985606656819e-17,-2.454493925084387,-2.4544939250843867,1.0000000000000002,4.440892098500626e-16
12818658.50530106,0.03334718653824417,12818658.50530106,371581341.49469894,6.92261571883782e-10,-5.3980530320302963e-17,-2.4257640588166045,-2.425764058816604,1.0000000000000002,4.440892098500626e-16
12893899.439887978,0.03354292258035374,12893899.439887978,371506100.560112,6.882237273949297e-10,-5.3352364026560305e-17,-2.397535673336148,-2.3975356733361477,1.0000000000000002,4.440892098500626e-16
12969140.374474894,0.03373865862246331,12969140.374474894,371430859.6255251,6.842327350200008e-10,-5.273509897014947e-17,-2.3697971650310223,-2.369797165031023,0.9999999999999998,4.440892098500626e-16
