body,r_m,r_body_radii,A_Rs_over_r,abs_grad_A_analytic,dA_dr_numeric,abs_grad_A_numeric,g_newton_m_s2,g_from_A_gradient_analytic_m_s2,g_from_A_gradient_numeric_m_s2,ratio_grad_g_to_newton,ratio_numeric_grad_g_to_newton
Earth,7411345.411301256,1.1632938959819896,1.196827617603741e-09,1.614858775545325e-16,-1.6148587756998753e-16,1.6148587756998753e-16,7.256813437249784,7.256813437249784,7.2568134379443,1.0,1.0000000000957052
Earth,7427609.711085708,1.1658467604906149,1.1942069140503534e-09,1.607794378678782e-16,-1.6077943788371659e-16,1.6077943788371659e-16,7.225067620907496,7.225067620907497,7.225067621619238,1.0000000000000002,1.00000000009851
Earth,7443909.703100475,1.1684052272956325,1.1915919490736971e-09,1.600760885878808e-16,-1.6007608860398093e-16,1.6007608860398093e-16,7.193460680514572,7.193460680514573,7.193460681238077,1.0000000000000002,1.0000000001005782
Earth,7460245.465672678,1.1709693086913637,1.1889827101079572e-09,1.5937581619517777e-16,-1.5937581621043629e-16,1.5937581621043629e-16,7.161992008541159,7.1619920085411595,7.161992009226843,1.0000000000000002,1.0000000000957394
Earth,7476617.077301272,1.173539016999101,1.1863791846148438e-09,1.5867860722955124e-16,-1.5867860724512479e-16,1.5867860724512479e-16,7.1306610001152295,7.13066100011523,7.130661000815071,1.0000000000000002,1.0000000000981453
Earth,7493024.616657534,1.1761143645671848,1.183781360083513e-09,1.579844482896642e-16,-1.579844483052869e-16,1.579844483052869e-16,7.099467053010733,7.099467053010733,7.099467053712782,1.0,1.0000000000988876
Earth,7509468.162585328,1.1786953637710451,1.1811892240305254e-09,1.5729332603280799e-16,-1.572933260500389e-16,1.572933260500389e-16,7.068409567636243,7.068409567636244,7.068409568410562,1.0000000000000002,1.0000000001095464
Earth,7525947.794101603,1.1812820270132793,1.178602763999767e-09,1.5660522717464062e-16,-1.566052271904693e-16,1.566052271904693e-16,7.037487947023203,7.037487947023203,7.037487947734507,1.0,1.0000000001010736
Earth,7542463.590396651,1.1838743667236935,1.1760219675624089e-09,1.5592013848893674e-16,-1.559201385045434e-16,1.559201385045434e-16,7.0067015968146835,7.006701596814684,7.006701597516012,1.0000000000000002,1.000000000100094
Earth,7559015.630834607,1.1864723953593797,1.1734468223168277e-09,1.5523804680732813e-16,-1.5523804682308017e-16,1.5523804682308017e-16,6.976049925253731,6.976049925253732,6.976049925961594,1.0000000000000002,1.0000000001014704
