catalog,z_bin,n,z_mean,observed_distance_mly_weighted_mean,lcdm_distance_mly_weighted_mean,unadjusted_distance_mly_weighted_mean,adjusted_union_distance_mly_weighted_mean,unadjusted_over_lcdm_weighted_mean,adjusted_union_over_lcdm_weighted_mean,unadjusted_fraction_of_observed_weighted_mean,observed_excess_over_unadjusted_fraction_weighted_mean,stam_union_excess_fraction_weighted_mean,rmse_mu_lcdm,rmse_mu_stam_unadjusted,rmse_mu_stam_adjusted_union,rmse_mu_stam_adjusted_des
DES,0.400-0.500,273,0.45028336996336993,8152.436254664049,8149.451495700649,6431.257370324123,7542.7684368875025,0.7895767224569216,0.9255969964895744,0.7934978583065649,0.20650214169343487,0.14695786848421527,0.1570951897298217,0.5319881167262385,0.22617864726441567,0.16192032483870109
DES,0.500-0.600,310,0.5501543548387097,10251.678663556817,10343.950429464598,7955.952036954546,9566.468624876981,0.7694466934275672,0.9248263893694659,0.7805237483870483,0.2194762516129518,0.1680085201992904,0.15784574363193785,0.5659195087760871,0.2123039828534808,0.15784973063099866
DES,0.600-0.700,295,0.6466114237288135,12685.107000077329,12686.155821958951,9545.542193032106,11757.144696173722,0.7526619560820206,0.9267244083714953,0.7570550625335875,0.24294493746641238,0.18782054043024604,0.1660896777685531,0.6328698164454002,0.22979837361895208,0.17178263354895723
DES,0.700-0.800,127,0.7499831496062993,15060.211411777333,15145.812885761685,11187.177881093792,14099.770119434968,0.7387916461230595,0.9308697037423219,0.7463615709415706,0.25363842905842965,0.2063350011176733,0.15186363029525093,0.6578762964364688,0.20516121433805296,0.15372032793520565
DES,0.800-1.000,113,0.8734717699115044,18054.374071512262,18215.36243445376,13210.018633685886,17100.882071953205,0.7257150799865768,0.9384313915895026,0.7378380930195503,0.26216190698044994,0.2266260242015287,0.197176331358639,0.696717449047914,0.2251266883488623,0.19590742176815112
DES,1.000-1.250,17,1.0525488235294116,22527.410080575264,23272.24452554607,16518.791004770526,22208.53054518165,0.7099507463781342,0.9540811893405574,0.7375343846668428,0.262465615333157,0.25585330845208354,0.18457474703763255,0.6881860035545445,0.17106219822792731,0.18443488085497067
Pantheon,0.000-0.010,111,0.006624504504504503,100.42980091491464,103.82939304489821,99.02646346817501,101.91963347238051,0.9539958219191896,0.9817258753145223,0.995423791144788,0.0045762088552122075,0.028246519581793257,0.2926327320238333,0.28416938402722725,0.2849746354474835,0.3368230481435749
Pantheon,0.010-0.025,268,0.01827167910447761,260.58705414891836,271.6292930617863,257.1462772142591,265.7397746395437,0.94718134253781,0.9785498813310992,0.990024397836526,0.00997560216347406,0.03205759396713091,0.18391200948086675,0.16184563609679026,0.1656021693762486,0.2494172295716837
Pantheon,0.025-0.050,266,0.034061879699248114,477.9992565522204,497.9032709623298,466.8914904236599,485.06197159272784,0.9384768970753748,0.9745552659102792,0.9812374733781005,0.018762526621899575,0.037024141712554984,0.16645433276726337,0.14590422300454345,0.14317656883231275,0.22998586484128725
Pantheon,0.050-0.075,69,0.06130014492753624,843.8062288070906,885.6305694845595,818.4408809406375,857.4037728778771,0.9246410487236105,0.9683517220507876,0.9724638260037846,0.02753617399621536,0.04514340426251605,0.15881706212714225,0.13345994206025608,0.1230959236584681,0.2166444657880775
Pantheon,0.075-0.100,27,0.08262370370370371,1181.1993674313915,1214.914339388559,1109.9829221302607,1170.6396757603031,0.9138393281337769,0.963646500305062,0.9446125743666376,0.05538742563336237,0.05168830627090889,0.15958961843977107,0.19421138585201597,0.1456782639955792,0.1953972928603101
Pantheon,0.100-0.150,85,0.12825399999999998,1885.4884183743388,1966.6280820900204,1753.0228563742908,1876.8690828950505,0.8921486784030807,0.9546656987417819,0.9325316249135076,0.06746837508649244,0.06549692707993685,0.139054345857191,0.1856699439949464,0.10297630863146388,0.16898177255820526
Pantheon,0.150-0.200,122,0.17805639344262295,2659.5107037229086,2798.9067746825335,2438.130695794261,2649.4109232558117,0.8715797326508645,0.9467639267525791,0.9222505256271111,0.07774947437288927,0.07942010315517795,0.1822696065370186,0.2299263587760465,0.13995204312622775,0.19629823561037235
Pantheon,0.200-0.250,139,0.22591525179856115,3480.0207869751557,3667.746098714662,3128.0828382035693,3448.5948657428803,0.8532614987360866,0.9403805075311354,0.9025379949453385,0.09746200505466146,0.09264976741697739,0.17625564273096803,0.26211397766188754,0.13193183987070692,0.17750533400865207
Pantheon,0.250-0.280,72,0.26354055555555556,4159.665654729033,4368.268160525373,3669.993508725987,4089.7548600243313,0.8402505640736342,0.9362720433934004,0.8848044473442537,0.1151955526557464,0.10255917014294864,0.16100264249886617,0.2936384057159302,0.12304730858709087,0.1543053380970664
Pantheon,0.280-0.320,99,0.300340303030303,4885.704970557484,5075.865143846859,4205.067923593626,4735.562482734204,0.8285901966124822,0.9329955775270751,0.864742782450537,0.13525721754946285,0.11190611874322685,0.15844359668112415,0.34679512206178553,0.14584715395553463,0.14918150884879822
Pantheon,0.320-0.350,70,0.33473171428571424,5449.177206528102,5734.757657585613,4694.85786403071,5336.31110034876,0.818740038757368,0.9305375245553973,0.8642441135671123,0.13575588643288805,0.1201441612740577,0.16224772336672263,0.34029074225919487,0.12263706983592305,0.1446617562820631
Pantheon,0.350-0.400,65,0.3713209230769231,6118.689785756295,6474.852192195457,5235.831727802979,6011.198545937467,0.8087633292299661,0.9284152359320145,0.8580350742329415,0.14196492576705858,0.12887946889202456,0.17308663869000288,0.35586590037616406,0.12456627094370797,0.15010425506228944
Pantheon,0.400-0.500,98,0.44107357142857145,7594.66708499059,7997.576364098709,6323.970976860184,7403.5752206464385,0.7911826807563548,0.9257741877511168,0.835740465061978,0.16425953493802178,0.14538682673266654,0.17278022579200522,0.4138490832351114,0.13878357937121172,0.14710912991552352
Pantheon,0.500-0.600,81,0.5458097530864198,9568.930618889439,10262.116097871176,7899.646802380762,9490.674469078745,0.7701302469154635,0.9248161424809109,0.8291782269081448,0.17082177309185517,0.16726023405422163,0.20266052629884557,0.4311262236334118,0.12936507686866605,0.16674734892622342
Pantheon,0.600-0.700,54,0.6464459259259258,11843.204230943746,12599.834547359578,9487.165309197038,11676.294005193775,0.753255866383506,0.9266401110782865,0.8036766994059437,0.19632330059405664,0.18710397498217554,0.18020098905848933,0.4919242141441385,0.11969758231460445,0.1452331431564326
Pantheon,0.700-0.800,45,0.745836,13895.75132677119,15044.387893292125,11120.037170028587,14001.884746840322,0.739280484354633,0.9306515889283744,0.8031898351968386,0.19681016480316119,0.20562516751533516,0.2181569635387862,0.49670391191428587,0.13020262036321845,0.18352120076898823
