x_m,y_m,x_earth_moon_units,y_earth_moon_units,A_total,g_finite_diff_x_m_s2,g_finite_diff_y_m_s2,g_newton_x_m_s2,g_newton_y_m_s2,relative_vector_error
228237500.0,-230640000.0,0.59375,-0.6,2.7727873916121606e-11,-0.002627500875732423,0.0027531792359090286,-0.002627542811663553,0.0027432885080526737,0.002603783156340174
233385714.28571427,-230640000.0,0.6071428571428571,-0.6,2.74285351594724e-11,-0.002598005375686703,0.002665322824287123,-0.0025980411914317985,0.002656322923831191,0.002422195889397943
238533928.57142854,-230640000.0,0.6205357142857142,-0.6,2.7132626835944712e-11,-0.00256764914525032,0.0025804989338016272,-0.002567679267622928,0.0025723248695876002,0.002249014968234413
243682142.85714287,-230640000.0,0.6339285714285714,-0.6,2.684023958013259e-11,-0.0025365688695781975,0.0024986408101905296,-0.0025365937090302687,0.002491231207261094,0.00208408079809585
248830357.14285713,-230640000.0,0.6473214285714286,-0.6,2.655144893745735e-11,-0.0025048913849936966,0.0024196772650872957,-0.0025049113348669647,0.0024129742655467344,0.001927222304358333
253978571.4285714,-230640000.0,0.6607142857142857,-0.6,2.6266316469208654e-11,-0.002472734088714978,0.0023435334898696345,-0.002472749524833702,0.0023374826442848196,0.0017782581046309799
259126785.71428567,-230640000.0,0.6741071428571428,-0.6,2.5984890809970486e-11,-0.0024402053584927615,0.0022701317843036787,-0.002440216639044206,0.002264681936576591,0.0016369973682834199
264275000.0,-230640000.0,0.6875,-0.6,2.5707208676709216e-11,-0.002407404975270789,0.0021993922068056725,-0.002407412440920079,0.0021944953749947825,0.001503240392052974
269423214.28571427,-230640000.0,0.7008928571428571,-0.6,2.5433295829519106e-11,-0.002374424543201933,0.0021312331532461425,-0.0023744285173962656,0.0021268444083948268,0.001376778923895085
274571428.57142854,-230640000.0,0.7142857142857142,-0.6,2.5163167984602867e-11,-0.0023413479024957207,0.0020655718711986067,-0.0023413486919123512,0.002061649215839214,0.001257396272279639
279719642.85714287,-230640000.0,0.7276785714285714,-0.6,2.4896831680522885e-11,-0.0023082515316036538,0.0020023249164005065,-0.0023082494267045958,0.001998829164041981,0.0011448672435125425
284867857.14285713,-230640000.0,0.7410714285714286,-0.6,2.463428509910289e-11,-0.0022752049362062166,0.001941408557955888,-0.0022752002118613885,0.0019383032145376855,0.0010389579527374472
290016071.4285714,-230640000.0,0.7544642857142857,-0.6,2.437551884260027e-11,-0.0022422710233131467,0.0018827391384997902,-0.00224226393946237,0.0018799902864917843,0.0009394255612593682
295164285.7142857,-230640000.0,0.7678571428571428,-0.6,2.4120516668917242e-11,-0.002209506459566912,0.001826233395143163,-0.0022094972618904303,0.0018238095807077224,0.0008460179937477546
300312500.0,-230640000.0,0.78125,-0.6,2.3869256186683146e-11,-0.0021769620135119014,0.0017718087465663918,-0.002176950934085969,0.001769680869958953,0.0007584736941812312
305460714.28571427,-230640000.0,0.7946428571428571,-0.6,2.3621709512032214e-11,-0.002144682882187125,0.001719383551108135,-0.0021446701401035564,0.0017175247602903535,0.0006765214792860311
310608928.57142854,-230640000.0,0.8080357142857142,-0.6,2.3377843888830183e-11,-0.0021127090028974648,0.0016688773401354112,-0.002112694804830118,0.001667262927401424,0.0005998805501711628
