x_m_from_earth,x_earth_moon_units,distance_to_earth_m,distance_to_moon_m,A_total,dA_dx_analytic,dA_dx_numeric,accel_newton_x_m_s2,accel_from_A_gradient_x_analytic_m_s2,accel_from_A_gradient_x_numeric_m_s2,ratio_A_accel_to_newton,ratio_A_numeric_accel_to_newton
15781426.808936313,0.04105470033542225,15781426.808936313,368618573.1910637,5.623554500743484e-10,-3.5614458016143955e-17,-3.561670949123301e-17,-1.6004339289957172,-1.6004339289957172,-1.6005351052405217,1.0,1.0000632180079236
15906899.166388797,0.04138111125491362,15906899.166388797,368493100.8336112,5.57922069094858e-10,-3.505481273206916e-17,-3.50569940032612e-17,-1.5752847241298242,-1.5752847241298245,-1.575382745568828,1.0000000000000002,1.0000622245855002
16032371.52384128,0.041707522174404994,16032371.52384128,368367628.47615874,5.535580827087749e-10,-3.450825561805147e-17,-3.451036940046746e-17,-1.550723672294882,-1.550723672294882,-1.5508186609395367,1.0,1.0000612543977703
16157843.881293764,0.04203393309389637,16157843.881293764,368242156.1187062,5.492618742843926e-10,-3.397438171643055e-17,-3.397643060015045e-17,-1.5267325756011703,-1.5267325756011705,-1.526824647843865,1.0000000000000002,1.0000603067257265
16283316.23874625,0.04236034401338775,16283316.23874625,368116683.7612538,5.450318770183317e-10,-3.3452801611361454e-17,-3.345478806809237e-17,-1.5032939345733232,-1.5032939345733232,-1.5033832014870356,1.0,1.0000593808779903
16408788.596198734,0.04268675493287912,16408788.596198734,367991211.40380126,5.408665720304389e-10,-3.2943140718497705e-17,-3.2945067107839074e-17,-1.4803909162302766,-1.4803909162302769,-1.4804774838501178,1.0000000000000002,1.0000584761895606
16534260.953651218,0.04301316585237049,16534260.953651218,367865739.0463488,5.3676448654543e-10,-3.2445038612262453e-17,-3.244690718759149e-17,-1.4580073238543445,-1.4580073238543445,-1.458091293442036,1.0,1.0000575920205048
16659733.311103702,0.043339576771861864,16659733.311103702,367740266.6888963,5.327241921567008e-10,-3.195814838845181e-17,-3.195996130246323e-17,-1.4361275683480372,-1.4361275683480372,-1.4362090366408558,1.0,1.0000567277549808
16785205.668556184,0.043665987691353235,16785205.668556184,367614794.3314438,5.287443031680097e-10,-3.148213606006523e-17,-3.148389536997691e-17,-1.4147366410840367,-1.414736641084037,-1.414815700528743,1.0000000000000002,1.0000558827999575
16910678.02600867,0.04399239861084461,16910678.02600867,367489321.97399133,5.248234750089841e-10,-3.101667998439808e-17,-3.101838765685883e-17,-1.3938200881600182,-1.3938200881600185,-1.393896827133403,1.0000000000000002,1.0000550565844448
17036150.383461155,0.04431880953033599,17036150.383461155,367363849.6165388,5.209604027206474e-10,-3.056147031956132e-17,-3.056312823526814e-17,-1.373363985975864,-1.373363985975864,-1.3734384889922346,1.0,1.0000542485583803
17161622.740913637,0.04464522044982736,17161622.740913637,367238377.2590864,5.171538195073809e-10,-3.0116208508713384e-17,-3.011781846676066e-17,-1.3533549180561981,-1.3533549180561983,-1.353427265962825,1.0000000000000002,1.0000534581916847
17287095.098366123,0.04497163136931874,17287095.098366123,367112904.90163386,5.134024953519466e-10,-2.9680606790400884e-17,-2.9682170512382636e-17,-1.3337799530461971,-1.3337799530461973,-1.3338502232076577,1.0000000000000002,1.0000526849734845
17412567.45581861,0.04529804228881012,17412567.45581861,366987432.5441814,5.097052356903903e-10,-2.9254387733508886e-17,-2.925590686738636e-17,-1.3146266238132969,-1.314626623813297,-1.314694890285276,1.0000000000000002,1.0000519284112632
17538039.81327109,0.04562445320830148,17538039.81327109,366861960.1867289,5.060608801438241e-10,-2.883728379541698e-17,-2.8838759919165933e-17,-1.295882907591716,-1.295882907591716,-1.2959492412849074,1.0,1.0000511880300318
17663512.170723572,0.045950864127792854,17663512.170723572,366736487.82927644,5.024683013042625e-10,-2.842903690204719e-17,-2.843047152710087e-17,-1.2775372071107498,-1.2775372071107503,-1.2776016759455773,1.0000000000000004,1.0000504633716096
17788984.52817606,0.04627727504728424,17788984.52817606,366611015.47182393,4.989264035718419e-10,-2.8029398048572925e-17,-2.803079262307299e-17,-1.2595783326515282,-1.2595783326515282,-1.2596410017042317,1.0,1.0000497539939193
17914456.885628544,0.04660368596677561,17914456.885628544,366485543.1143715,4.954341220409051e-10,-2.7638126919635484e-17,-2.7639482831504483e-17,-1.241995484980392,-1.241995484980392,-1.2420564166211008,1.0,1.000049059470381
18039929.243081026,0.046930096886266974,18039929.243081026,366360070.75691897,4.919904214325694e-10,-2.725499152798596e-17,-2.7256310107825696e-17,-1.2247782391102735,-1.2247782391102735,-1.2248374931332506,1.0,1.0000483793890886
18165401.60053351,0.04725650780575835,18165401.60053351,366234598.3994665,4.885942950715353e-10,-2.687976787053862e-17,-2.688105039437638e-17,-1.2079165288445053,-1.2079165288445053,-1.2079741625915572,1.0,1.0000477133524344
18290873.957985997,0.04758291872524973,18290873.957985997,366109126.042014,4.852447639050064e-10,-2.6512239600883118e-17,-2.6513487292761777e-17,-1.191400632060252,-1.191400632060252,-1.1914567005371226,1.0,1.0000470609762677
18416346.31543848,0.0479093296447411,18416346.31543848,365983653.6845615,4.819408755617167e-10,-2.6152197717361593e-17,-2.6153411751795426e-17,-1.1752211566913955,-1.1752211566913955,-1.1752757126781241,1.0,1.0000464218895466
18541818.672890965,0.04823574056423248,18541818.672890965,365858181.32710904,4.786817034491599e-10,-2.5799440265870962e-17,-2.5800621770170376e-17,-1.1593690273731352,-1.1593690273731352,-1.1594221215285252,1.0,1.0000457957338313
18667291.03034345,0.04856215148372386,18667291.03034345,365732708.9696565,4.754663458872303e-10,-2.5453772056601344e-17,-2.5454922113067227e-17,-1.1438354727128477,-1.1438354727128477,-1.1438871536730753,1.0,1.000045182162523
18792763.387795933,0.04888856240321523,18792763.387795933,365607236.6122041,4.722939252765681e-10,-2.5115004393968578e-17,-2.511612404197794e-17,-1.1286120131538593,-1.1286120131538595,-1.1286623276261982,1.0000000000000002,1.000044580840672
18918235.745248415,0.04921497332270659,18918235.745248415,365481764.25475156,4.691635872999984e-10,-2.4782954819043203e-17,-2.478404505702088e-17,-1.1136904494007822,-1.1136904494007824,-1.1137394422522071,1.0000000000000002,1.0000439914443473
19043708.1027009,0.04954138424219797,19043708.1027009,365356291.8972991,4.660745001555421e-10,-2.445744686381948e-17,-2.445850865110808e-17,-1.0990628513769145,-1.0990628513769147,-1.0991105657181321,1.0000000000000002,1.000043413660245
19169180.460153386,0.04986779516168935,19169180.460153386,365230819.5398466,4.6302585381954533e-10,-2.413830981670638e-17,-2.4139344075341574e-17,-1.0847215476859309,-1.084721547685931,-1.0847680249511578,1.0000000000000002,1.0000428471853684
19294652.817605868,0.05019420608118072,19294652.817605868,365105347.18239415,4.6001685933856265e-10,-2.3825378498658685e-17,-2.3826386115048278e-17,-1.0706591155517156,-1.0706591155517158,-1.0707043955741322,1.0000000000000002,1.0000422917264318
19420125.175058354,0.0505206170006721,19420125.175058354,364979874.82494164,4.570467481486888e-10,-2.3518493049400006e-17,-2.351947487592217e-17,-1.0568683712117053,-1.0568683712117053,-1.056912492295276,1.0,1.000041746999695
19545597.53251084,0.050847027920163476,19545597.53251084,364854402.4674892,4.5411477142110973e-10,-2.321749872322124e-17,-2.3218455579736534e-17,-1.043342360740527,-1.043342360740527,-1.0433853597279485,1.0,1.0000412127303937
19671069.88996332,0.05117343883965484,19671069.88996332,364728930.1100367,4.5122019943269816e-10,-2.2922245693867213e-17,-2.292317836915847e-17,-1.0300743512820436,-1.0300743512820436,-1.0301162636194485,1.0,1.0000406886525741
19796542.247415803,0.05149984975914621,19796542.247415803,364603457.7525842,4.483623209605456e-10,-2.2632588868052304e-17,-2.2633498121189995e-17,-1.0170578226691627,-1.017057822669163,-1.017098682467477,1.0000000000000002,1.0000401745086696
19922014.604868293,0.051826260678637597,19922014.604868293,364477985.3951317,4.45540442699374e-10,-2.234838770717164e-17,-2.2349274268810537e-17,-1.0042864594119372,-1.0042864594119372,-1.0043262995051487,1.0,1.000039670049156
20047486.962320775,0.05215267159812897,20047486.962320775,364352513.0376792,4.4275388870082595e-10,-2.206950605679882e-17,-2.2070370630412783e-17,-0.9917541430355751,-0.9917541430355752,-0.9917929950362225,1.0000000000000002,1.000039175032361
20172959.319773257,0.05247908251762033,20172959.319773257,364227040.68022674,4.4000199983367817e-10,-2.1795811983583755e-17,-2.1796655246637254e-17,-0.9794549447509944,-0.9794549447509944,-0.9794928391028129,1.0,1.0000386892240645
20298431.677225742,0.05280549343711171,20298431.677225742,364101568.32277423,4.372841332640767e-10,-2.1527177619186093e-17,-2.1528000224249432e-17,-0.9673831184415408,-0.9673831184415408,-0.9674200844695774,1.0,1.0000382123972724
20423904.03467823,0.05313190435660309,20423904.03467823,363976095.9653218,4.345996619549297e-10,-2.1263479010899362e-17,-2.126428158670959e-17,-0.955533093950371,-0.9555330939503712,-0.9555691599086599,1.0000000000000002,1.0000377443319517
20549376.39213071,0.05345831527609446,20549376.39213071,363850623.60786927,4.319479741836409e-10,-2.1004595978639975e-17,-2.1005379131109515e-17,-0.9438994706538605,-0.9438994706538606,-0.9439346637707475,1.0000000000000002,1.0000372848147299
20674848.749583196,0.05378472619558584,20674848.749583196,363725151.2504168,4.2932847307740265e-10,-2.075041197799312e-17,-2.075117629117181e-17,-0.9324770113071903,-0.9324770113071904,-0.9325113578285666,1.0000000000000002,1.000036833638749
20800321.10703568,0.054111137115077215,20800321.10703568,363599678.8929643,4.2674057616530997e-10,-2.0500813969024104e-17,-2.0501560006013243e-17,-0.9212606361490253,-0.9212606361490253,-0.9212941613794012,1.0,1.0000363906033325
20925793.464488164,0.054437548034568586,20925793.464488164,363474206.53551185,4.241837149465866e-10,-2.025569229057941e-17,-2.0256420594402463e-17,-0.9102454172528838,-0.9102454172528838,-0.9102781455945169,1.0,1.000035955513769
21051265.821940646,0.05476395895405995,21051265.821940646,363348734.17805934,4.2165733447425257e-10,-2.0014940539816422e-17,-2.001565163425126e-17,-0.8994265731134742,-0.8994265731134743,-0.8994585281037684,1.0000000000000002,1.0000355281812316
