trial,correction_mode,model,n_test,z_min,z_max,weighted_mean_resid,weighted_rmse,weighted_mae,mean_resid,median_resid,alpha,beta_z,gamma_z2
217,catalog_bin_median_delta,STAM b=461.3626922 original,450,0.02509,0.98536,-0.1011876325217147,0.29858577306659123,0.20576081469135418,-0.009902988599004613,0.022530326152988778,,,
217,catalog_bin_median_delta,STAM b=1335.412792 DES-style,450,0.02509,0.98536,-0.2151453572632984,0.35907842683222746,0.2472335277087937,-0.11995760089069525,-0.08640774155287545,,,
217,catalog_bin_median_delta,LCDM fixed H0=70 Om=0.3,450,0.02509,0.98536,-0.22229716521373058,0.3354991162483456,0.24477730903697648,-0.14411008213366452,-0.12612994280628698,,,
217,catalog_linear_z_delta,STAM b=354.95 union-style,450,0.02509,0.98536,-0.08671184476587605,0.24693823419352554,0.20208121584572214,0.01465242854837797,0.015160169723859696,0.48429418285672204,-0.6797088283243151,
217,catalog_linear_z_delta,STAM b=461.3626922 original,450,0.02509,0.98536,-0.10100734851556716,0.2533416612058509,0.20681581798389922,0.0008612798948582186,0.0012899706936266853,0.48429418285672204,-0.6797088283243151,
217,catalog_linear_z_delta,STAM b=1335.412792 DES-style,450,0.02509,0.98536,-0.21496507325715078,0.323035191938977,0.2652121794778483,-0.10919333239683242,-0.10956882503655763,0.48429418285672204,-0.6797088283243151,
217,catalog_linear_z_delta,LCDM fixed H0=70 Om=0.3,450,0.02509,0.98536,-0.222116881207583,0.30331381676292324,0.25658501771737047,-0.1333458136398017,-0.14588013369700548,0.48429418285672204,-0.6797088283243151,
217,catalog_quadratic_z_delta,STAM b=354.95 union-style,450,0.02509,0.98536,-0.08782458491911081,0.27833630883386196,0.21518867635982328,0.00937572473626269,0.02924022110192226,0.670972750899686,-2.461858194938535,2.419795761561164
217,catalog_quadratic_z_delta,STAM b=461.3626922 original,450,0.02509,0.98536,-0.10212008866880187,0.28402853662365624,0.21762060893328347,-0.00441542391725706,0.01457194819889196,0.670972750899686,-2.461858194938535,2.419795761561164
217,catalog_quadratic_z_delta,STAM b=1335.412792 DES-style,450,0.02509,0.98536,-0.21607781341038554,0.3475945549579057,0.2606330176564042,-0.1144700362089477,-0.09159554248524415,0.670972750899686,-2.461858194938535,2.419795761561164
217,catalog_quadratic_z_delta,LCDM fixed H0=70 Om=0.3,450,0.02509,0.98536,-0.2232296213608177,0.3208554665908133,0.25060759044141084,-0.13862251745191698,-0.12966334420981696,0.670972750899686,-2.461858194938535,2.419795761561164
217,raw_no_catalog_correction,STAM b=354.95 union-style,450,0.02509,0.98536,0.14065270626988477,0.20162546775526133,0.16632795256724686,0.18404391561007166,0.16935537542133616,,,
217,raw_no_catalog_correction,STAM b=461.3626922 original,450,0.02509,0.98536,0.1263572025201937,0.1920605524856918,0.15722778851351213,0.17025276695655192,0.1544550033152241,,,
217,raw_no_catalog_correction,STAM b=1335.412792 DES-style,450,0.02509,0.98536,0.012399477778610054,0.14700550890613326,0.11722137174357188,0.0601981546648613,0.04436575288423228,,,
217,raw_no_catalog_correction,LCDM fixed H0=70 Om=0.3,450,0.02509,0.98536,0.005247669828177862,0.14538226443396154,0.11358019374612519,0.03604567342189202,0.019133921857942937,,,
218,catalog_bin_median_delta,STAM b=354.95 union-style,450,0.02509,0.99268,-0.0902895779030581,0.2798465165332522,0.18715922129890775,-0.018656592354947352,-0.006973296271397089,,,
218,catalog_bin_median_delta,STAM b=461.3626922 original,450,0.02509,0.99268,-0.10449644996905669,0.2854845806107884,0.1905596249247875,-0.032450791902814725,-0.01945051262954678,,,
218,catalog_bin_median_delta,STAM b=1335.412792 DES-style,450,0.02509,0.99268,-0.21776771945244933,0.3484069428171792,0.2487821468459698,-0.14252899073142852,-0.12817540154994234,,,
218,catalog_bin_median_delta,LCDM fixed H0=70 Om=0.3,450,0.02509,0.99268,-0.2274777431309644,0.3291292035030535,0.2503092212788863,-0.16655740588275517,-0.16272871269056566,,,
218,catalog_linear_z_delta,STAM b=354.95 union-style,450,0.02509,0.99268,-0.09337561176634324,0.24857953822983264,0.20247219333984404,-0.009125261525641026,-0.024684844195061117,0.4894496024951837,-0.6759944096443172,
218,catalog_linear_z_delta,STAM b=461.3626922 original,450,0.02509,0.99268,-0.10758248383234184,0.25528382610960104,0.20800300924574686,-0.022919461073508403,-0.03861889554709208,0.4894496024951837,-0.6759944096443172,
218,catalog_linear_z_delta,STAM b=1335.412792 DES-style,450,0.02509,0.99268,-0.22085375331573445,0.3264339826618313,0.2702935095663052,-0.1329976599021222,-0.1471125905566666,0.4894496024951837,-0.6759944096443172,
218,catalog_linear_z_delta,LCDM fixed H0=70 Om=0.3,450,0.02509,0.99268,-0.2305637769942495,0.30905309034267825,0.2663972280754628,-0.15702607505344884,-0.1850422636964666,0.4894496024951837,-0.6759944096443172,
218,catalog_quadratic_z_delta,STAM b=354.95 union-style,450,0.02509,0.99268,-0.09848228910035171,0.2777080056730556,0.20748786527314256,-0.014513057808230548,-0.007219131341681617,0.6668126285840198,-2.3692118363617385,2.2990443053358516
218,catalog_quadratic_z_delta,STAM b=461.3626922 original,450,0.02509,0.99268,-0.1126891611663503,0.28385790228907465,0.21161012380617497,-0.028307257356097924,-0.020570776794865964,0.6668126285840198,-2.3692118363617385,2.2990443053358516
218,catalog_quadratic_z_delta,STAM b=1335.412792 DES-style,450,0.02509,0.99268,-0.22596043064974292,0.35010573000818695,0.2662238963428263,-0.13838545618471174,-0.1270823009915958,0.6668126285840198,-2.3692118363617385,2.2990443053358516
218,catalog_quadratic_z_delta,LCDM fixed H0=70 Om=0.3,450,0.02509,0.99268,-0.235670454328258,0.32723429522072145,0.26259716590557547,-0.16241387133603838,-0.1658462858843599,0.6668126285840198,-2.3692118363617385,2.2990443053358516
218,raw_no_catalog_correction,STAM b=354.95 union-style,450,0.02509,0.99268,0.13007686541342953,0.19341877051120362,0.1540710985638714,0.16746431875616385,0.13582513099335713,,,
218,raw_no_catalog_correction,STAM b=461.3626922 original,450,0.02509,0.99268,0.11586999334743092,0.1843055327368015,0.1455263992118143,0.15367011920829649,0.1216095416608205,,,
218,raw_no_catalog_correction,STAM b=1335.412792 DES-style,450,0.02509,0.99268,0.0025987238640382926,0.14521681039941242,0.1130783016357012,0.043591920379682673,0.009524271632958659,,,
218,raw_no_catalog_correction,LCDM fixed H0=70 Om=0.3,450,0.02509,0.99268,-0.007111299814476783,0.14221865269919992,0.1122548046096775,0.019563505228356048,-0.010880720425717527,,,
219,catalog_bin_median_delta,STAM b=354.95 union-style,450,0.02519,0.96859,-0.09114514995687933,0.27459197930740603,0.19080119719777233,0.007727562339656815,-0.0016705126781317858,,,
219,catalog_bin_median_delta,STAM b=461.3626922 original,450,0.02519,0.96859,-0.10535710987127328,0.2803649973483211,0.19386606995692318,-0.006072358551615037,-0.014787983244779923,,,
219,catalog_bin_median_delta,STAM b=1335.412792 DES-style,450,0.02519,0.96859,-0.2186680733572887,0.34442918711845805,0.24992610226831627,-0.11619548330499417,-0.12483319361905387,,,
219,catalog_bin_median_delta,LCDM fixed H0=70 Om=0.3,450,0.02519,0.96859,-0.22849529111468,0.32490981391716056,0.2504396626277318,-0.14053391561657513,-0.15886248744796916,,,
219,catalog_linear_z_delta,STAM b=354.95 union-style,450,0.02519,0.96859,-0.08775274006251071,0.23324339127714158,0.1891475359132628,0.01726160007260126,-0.01558723586398969,0.4615204865800404,-0.6252145192845809,
219,catalog_linear_z_delta,STAM b=461.3626922 original,450,0.02519,0.96859,-0.10196469997690465,0.23995918528250829,0.1943597260015122,0.0034616791813294077,-0.028104929254698874,0.4615204865800404,-0.6252145192845809,
219,catalog_linear_z_delta,STAM b=1335.412792 DES-style,450,0.02519,0.96859,-0.21527566346292012,0.3120761202228184,0.2570525356065166,-0.10666144557204973,-0.13012972554793478,0.4615204865800404,-0.6252145192845809,
219,catalog_linear_z_delta,LCDM fixed H0=70 Om=0.3,450,0.02519,0.96859,-0.2251028812203114,0.2948452078362399,0.25390504042683293,-0.13099987788363068,-0.1691293925733106,0.4615204865800404,-0.6252145192845809,
219,catalog_quadratic_z_delta,STAM b=354.95 union-style,450,0.02519,0.96859,-0.08835643351115968,0.2666032874051101,0.20085643061820696,0.015871337539511438,0.007282603979000157,0.6406348346596693,-2.335151151689881,2.3217455804467355
219,catalog_quadratic_z_delta,STAM b=461.3626922 original,450,0.02519,0.96859,-0.10256839342555368,0.27249181224505814,0.20430275151522223,0.002071416648239585,-0.0065759696385399025,0.6406348346596693,-2.335151151689881,2.3217455804467355
219,catalog_quadratic_z_delta,STAM b=1335.412792 DES-style,450,0.02519,0.96859,-0.2158793569115691,0.33768694967643953,0.2562392936077598,-0.10805170810513955,-0.11991589223888965,0.6406348346596693,-2.335151151689881,2.3217455804467355
219,catalog_quadratic_z_delta,LCDM fixed H0=70 Om=0.3,450,0.02519,0.96859,-0.22570657466896038,0.31379680599973975,0.25216275317339626,-0.1323901404167205,-0.15775378763929737,0.6406348346596693,-2.335151151689881,2.3217455804467355
219,raw_no_catalog_correction,STAM b=354.95 union-style,450,0.02519,0.96859,0.12860133741067387,0.18821427578678765,0.15053179156391394,0.1903952067841005,0.13896286943890956,,,
219,raw_no_catalog_correction,STAM b=461.3626922 original,450,0.02519,0.96859,0.11438937749627989,0.17895703942740135,0.14125336294173751,0.17659528589282866,0.1246408056509054,,,
219,raw_no_catalog_correction,STAM b=1335.412792 DES-style,450,0.02519,0.96859,0.0010784140102644889,0.13963824517489637,0.10751453944603825,0.06647216113944951,0.011886888289399877,,,
219,raw_no_catalog_correction,LCDM fixed H0=70 Om=0.3,450,0.02519,0.96859,-0.008748803747126844,0.1369786984037002,0.1056788166024559,0.042133728827868554,-0.0020071690445249146,,,
220,catalog_bin_median_delta,STAM b=354.95 union-style,450,0.0251,0.97242,-0.09777412342357625,0.2979719869806708,0.20363867826605417,-0.006579707161307056,0.009344548030384203,,,
220,catalog_bin_median_delta,STAM b=461.3626922 original,450,0.0251,0.97242,-0.11203734710606904,0.30371109471432617,0.20641250118097437,-0.02036992431775624,-0.004178875142155647,,,
220,catalog_bin_median_delta,STAM b=1335.412792 DES-style,450,0.0251,0.97242,-0.2257440428291248,0.3665354590806682,0.2605927053614887,-0.13041704674217147,-0.11422986468099339,,,
220,catalog_bin_median_delta,LCDM fixed H0=70 Om=0.3,450,0.0251,0.97242,-0.2330599987260397,0.344685425134689,0.2582515962470381,-0.1543825650665863,-0.14595862402085302,,,
