catalog,cid,z,mu_obs,muerr,weight,observed_distance_mly,lcdm_distance_mly,lcdm_mu,stam_unadjusted_su,stam_unadjusted_distance_mly,stam_unadjusted_mu_equiv,stam_adjusted_union_distance_mly,stam_adjusted_union_mu,stam_adjusted_union_excess_mly,stam_adjusted_union_excess_fraction,stam_adjusted_union_flattening_ratio,resid_mu_stam_adjusted_union,stam_adjusted_original_distance_mly,stam_adjusted_original_mu,stam_adjusted_original_excess_mly,stam_adjusted_original_excess_fraction,stam_adjusted_original_flattening_ratio,resid_mu_stam_adjusted_original,stam_adjusted_des_distance_mly,stam_adjusted_des_mu,stam_adjusted_des_excess_mly,stam_adjusted_des_excess_fraction,stam_adjusted_des_flattening_ratio,resid_mu_stam_adjusted_des,resid_mu_lcdm,resid_mu_stam_unadjusted,observed_over_unadjusted_distance,observed_over_lcdm_distance,unadjusted_over_lcdm_distance,adjusted_union_over_lcdm_distance,unadjusted_fraction_of_observed,observed_excess_over_unadjusted_mly,observed_excess_over_unadjusted_fraction
Pantheon,21033,0.2302,40.1283,0.227444,19.330853559273198,3460.0778878027554,3743.3725667193407,40.299185891239745,977.4819135181726,3188.1196008260367,39.9505436516596,3518.122321799091,40.16442530170228,330.00272097305424,0.09380080929201405,0.9061991907079859,-0.03612530170227757,3542.6185235435305,40.17949257036702,354.49892271749377,0.10006691952903345,0.8999330804709665,-0.05119257036701441,3743.824856517491,40.29944824169305,555.7052556914541,0.14843249270169429,0.8515675072983058,-0.17114824169304654,-0.17088589123974174,0.17775634834040233,1.0853036651781365,0.9243210036224467,0.8516703972161865,0.9398269232074709,0.9214011083578758,271.9582869767187,0.07859889164212418
Pantheon,6,0.23041,40.3062,0.260109,14.780503926483432,3755.4836456094217,3747.2286472930223,40.30142159250725,978.4034117224537,3191.125125988769,39.95258979214468,3521.6556041993335,40.16660503690758,330.5304782105645,0.09385655934567523,0.9061434406543247,0.1395949630924136,3546.1741526091355,40.181670924683374,355.0490266203665,0.10012171183390285,0.8998782881660972,0.12452907531662305,3747.564036104054,40.301615937456035,556.4389101152851,0.14848016064690273,0.8515198393530973,0.004584062543962375,0.004778407492743497,0.3536102078553185,1.1768525198289699,1.0022029609328384,0.851596053070853,0.9398027010557145,0.8497241439779799,564.3585196206527,0.15027585602202012
Pantheon,40780,0.23082,40.0717,0.296847,11.348400953652709,3371.055285653284,3754.759296470556,40.30578113094691,980.2026837687524,3196.993566518146,39.95657943632462,3528.555618956144,40.170855461747145,331.56205243799786,0.09396537514012156,0.9060346248598784,-0.09915546174714507,3553.1177965697475,40.18591865423103,356.12423005160144,0.10022865844622744,0.8997713415537726,-0.11421865423103128,3754.8660406055837,40.30584286290655,557.8724740874377,0.1485732028931355,0.8514267971068645,-0.23414286290655184,-0.23408113094691174,0.11512056367538293,1.05444543928961,0.8978086261939745,0.8514510023380979,0.9397554784065542,0.9483658070290573,174.061719135138,0.05163419297094269
Pantheon,19008,0.23086,40.1049,0.204707,23.86352591811318,3422.991928433997,3755.494143385921,40.30620606995058,980.3782335871283,3197.5661334466445,39.956968302282405,3529.2289116113543,40.171269766384086,331.66277816470983,0.09397598922345936,0.9060240107765406,-0.06636976638408498,3553.795345732646,40.18633269596429,356.2292122860017,0.10023909022047581,0.8997609097795242,-0.08143269596428837,3755.5785517724744,40.30625487535828,558.0124183258299,0.14858227850472508,0.851417721495275,-0.20135487535827679,-0.20130606995058287,0.1479316977175955,1.0704991814334632,0.9114624594642178,0.8514368579373544,0.939750876146869,0.9341436381678867,225.42579498735267,0.06585636183211332
Pantheon,360140,0.23092,40.2958,0.226289,19.52869009348311,3737.540221847464,3756.5964635602004,40.3068433513646,980.6415620087425,3198.4249958877726,39.957551478859095,3530.23889075544,40.17189109986755,331.8138948676674,0.09399190965137834,0.9060080903486216,0.12390890013244871,3554.811709638264,40.18695363510945,356.38671375049125,0.10025473720146967,0.8997452627985303,0.1088463648905531,3756.64735868408,40.30687277070993,558.2223627963072,0.14859589136198492,0.8514041086380151,-0.011072770709930069,-0.011043351364598664,0.33824852114090476,1.1685564697164492,0.9949272587839588,0.851415643631992,0.9397439743660311,0.8557566757921853,539.1152259596915,0.14424332420781472
Pantheon,17875,0.23125,40.3169,0.189753,27.772993872639965,3774.0345794458412,3762.660292568626,40.310345676306895,982.0899475650051,3203.14899775176,39.96075632866084,3535.7946375071833,40.17530578880823,332.6456397554234,0.09407945705521695,0.9059205429447831,0.14159421119176585,3560.402572578433,40.19036615555845,357.25357482667323,0.10034078100554546,0.8996592189944546,0.12653384444154625,3762.526658157183,40.310268553056844,559.3776604054233,0.14867075006437197,0.8513292499356281,0.0066314469431532075,0.006554323693102049,0.35614367133915437,1.178226358528678,1.0030229374944317,0.8512990141783676,0.939706049066,0.8487333463229934,570.8855816940813,0.15126665367700662
Pantheon,430004,0.23162,40.201,0.226906,19.422630141193224,3577.8808614086693,3769.461279868428,40.314267057593796,983.7140544667228,3208.4461259907544,39.96434438131101,3542.025541735832,40.179129067662885,333.57941574507777,0.09417758619030209,0.905822413809698,0.02187093233711579,3566.672849503196,40.194187003816324,358.2267235124418,0.10043722500714901,0.899562774992851,0.0068129961836760344,3769.1203336188723,40.31407063990875,560.674207628118,0.14875465838199808,0.8512453416180019,-0.11307063990874866,-0.11326705759379507,0.23665561868899232,1.11514444092585,0.9491756502492988,0.8511683468208339,0.9396635961358026,0.8967448191462523,369.4347354179149,0.10325518085374774
Pantheon,1302648,0.23164,40.0875,0.237265,17.763667827993242,3395.6731063619504,3769.828965494958,40.31447885981073,983.8018488312435,3208.732472909812,39.96453817190764,3542.362399579466,40.179335571744815,333.6299266696542,0.09418288956241781,0.9058171104375822,-0.09183557174481649,3567.011835600674,40.19439337653699,358.2793626908624,0.10044243731266712,0.8995575626873329,-0.10689337653699482,3769.476800718346,40.31427599866667,560.7443278085343,0.14875919323914494,0.851240806760855,-0.22677599866667464,-0.2269788598107283,0.12296182809235745,1.0582599624712912,0.9007499113202121,0.8511612867000513,0.9396613034709316,0.944947399942033,186.94063345213863,0.05505260005796692
Pantheon,1275946,0.23205,40.2045,0.159507,39.30433983483795,3583.652374044003,3777.3679825554686,40.318817099053604,985.6017418474358,3214.6029387721,39.96850731173396,3549.269165445978,40.18356530537456,334.6662266738781,0.0942915882323132,0.9057084117676868,0.020934694625445616,3573.962230670988,40.1986204177659,359.35929189888793,0.100549269607536,0.899450730392464,0.005879582234101122,3776.785556329578,40.318482257439356,562.1826175574779,0.1488521413706708,0.8511478586293292,-0.11398225743935342,-0.11431709905360066,0.23599268826604458,1.114804049613938,0.9487167759651489,0.8510166215252754,0.939614351007662,0.8970186288310532,369.0494352719029,0.10298137116894682
Pantheon,15369,0.23282,39.8341,0.180906,30.555828079930617,3021.6619448068614,3791.5341539527712,40.32694548694977,988.9825881338888,3225.6297845522195,39.97594322773343,3562.246490413876,40.191490461068696,336.61670586165656,0.09449562425494791,0.905504375745052,-0.35739046106869665,3587.02149341188,40.20654051960117,361.3917088596604,0.10074980301161067,0.8992501969883894,-0.3724405196011702,3790.5178376473164,40.32636334828011,564.8880530950969,0.14902661781053889,0.8509733821894612,-0.49226334828011176,-0.4928454869497685,-0.14184322773343183,0.9367665065835592,0.7969496837201642,0.8507452797674044,0.9395264148419032,1.067501872635324,-203.9678397453581,-0.06750187263532398
Pantheon,1292336,0.23367,40.1857,0.255059,15.371586550591314,3552.7600369580246,3807.183537207403,40.33588969395659,992.7155389619719,3237.8050417506843,39.98412409968982,3576.5813258966914,40.20021114810125,338.77628414600713,0.09472069925910936,0.9052793007408906,-0.01451114810125631,3601.4467796830654,40.21525563163733,363.64173793238115,0.10097101531079195,0.899028984689208,-0.029555631637336433,3805.6860665033314,40.33503542571632,567.8810247526471,0.1492190934378402,0.8507809065621598,-0.1493354257163233,-0.15018969395659099,0.20157590031017492,1.0972742308897772,0.9331727777862793,0.850446270873938,0.9394297099004951,0.9113492068332839,314.9549952073403,0.08865079316671605
Pantheon,350047,0.23378,40.4148,0.19637,25.932818456067405,3948.0793713868366,3809.2096252861193,40.33704499000607,993.1986917314837,3239.380875321998,39.98518069409159,3578.437129091665,40.20133758140149,339.05625376966736,0.09474981438495524,0.9052501856150448,0.21346241859851034,3603.314288274181,40.21638134376927,363.93341295218306,0.10099963084998899,0.899000369150011,0.19841865623072863,3807.649720605425,40.336155570924234,568.2688452834273,0.14924399222128845,0.8507560077787115,0.07864442907576574,0.07775500999392904,0.42961930590841035,1.2187759091447972,1.036456315026319,0.8504076157475003,0.9394172232836568,0.8204953777776015,708.6984960648388,0.17950462222239852
Pantheon,1336687,0.23391,40.1788,0.292139,11.71712123030247,3541.488819394549,3811.6043510620266,40.33840969491503,993.7697096681512,3241.243286739679,39.98642877607224,3580.630559887973,40.202668194495914,339.38727314829384,0.09478421955905784,0.9052157804409422,-0.023868194495911155,3605.521552720475,40.217711104663024,364.2782659807958,0.10103344568996872,0.8989665543100313,-0.038911104663021945,3809.970611564693,40.33747875339323,568.727324825014,0.14927341515409928,0.8507265848459007,-0.15867875339322524,-0.15960969491502652,0.19237122392776485,1.092632828236995,0.9291333761878472,0.8503619442654304,0.9394024746798032,0.9152205335195158,300.24553265486975,0.0847794664804842
Pantheon,12971,0.23395,40.1389,0.214099,21.815778845364566,3477.0094821860093,3812.341245996813,40.338829463656616,993.9454116814087,3241.81635006149,39.986812666168944,3581.305507187559,40.20307747752484,339.48915712606913,0.09479480497956007,0.90520519502044,-0.0641774775248436,3606.200756527749,40.21812012549579,364.38440646625895,0.10104384948804364,0.8989561505119563,-0.07922012549578739,3810.684777375959,40.33788575024071,568.868427314469,0.14928246773174253,0.8507175322682575,-0.19898575024070908,-0.19992946365661624,0.1520873338310551,1.0725498013235877,0.9120404648553111,0.8503478940836138,0.9393979384579344,0.9323576385599465,235.19313212451925,0.06764236144005349
Pantheon,110536,0.23472,40.1912,0.32799,9.29562926084165,3561.770028120549,3826.5316293834576,40.346897162112256,997.3280594331687,3252.849071435598,39.99419018958408,3594.3024174687516,40.21094369966067,341.4533460331536,0.0949985021776822,0.9050014978223178,-0.01974369966066547,3619.2796045819355,40.22598130213629,366.43053314633744,0.10124405218166724,0.8987559478183328,-0.03478130213628816,3824.4366440069916,40.34570797849668,571.5875725713936,0.14945667186488465,0.8505433281351154,-0.15450797849667453,-0.15569716211225426,0.19700981041592058,1.0949693483776095,0.9308089865951094,0.85007766470748,0.939310782084892,0.9132675736372682,308.92095668495085,0.08673242636273185
